"stat_var","stat_label","row_group","row_var","row_label","rowLevels","col_group","col_var","col_label","colLevels","coef","se","caption"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","No usual source of health care","59,565","1,747","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Office-based","194,138","4,752","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Hospital (not ER)","47,716","2,279","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Emergency room","984","158","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Any care","31,973","1,207","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Medical care","13,786","637","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Dental care","18,185","843","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Prescription medicines","10,315","568","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Couldn't afford","18,561","816","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Insurance related","4,067","355","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Other","11,690","668","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_MD","Reasons for difficulty receiving needed medical care","Couldn't afford","6,778","387","Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
