"rowGrp","colGrp","rowLevels","n","n_se"
"ind","usc","Total",31591,0
"ind","difficulty","Total",31893,0
"ind","rsn_MD","Total",1611,0
"ind","rsn_DN","Total",2119,0
"ind","rsn_PM","Total",1143,0
"ind","adult_nosmok","Total",2010,0
"ind","child_dental","Total",8755,0
"ind","diab_a1c","Total",1654,0
"ind","diab_chol","Total",1654,0
"ind","diab_eye","Total",1654,0
"ind","diab_foot","Total",1654,0
"ind","diab_flu","Total",1654,0
"ind","adult_routine","Total",12570,0
"ind","adult_illness","Total",5917,0
"ind","adult_listen","Total",13652,0
"ind","adult_explain","Total",13652,0
"ind","adult_respect","Total",13652,0
"ind","adult_time","Total",13652,0
"ind","adult_rating","Total",13652,0
"ind","child_routine","Total",6066,0
"ind","child_illness","Total",1819,0
"ind","child_listen","Total",6959,0
"ind","child_explain","Total",6959,0
"ind","child_respect","Total",6959,0
"ind","child_time","Total",6959,0
"ind","child_rating","Total",6959,0
"agegrps","usc","Under 5",2396,0
"agegrps","usc","5-17",7063,0
"agegrps","usc","18-44",11375,0
"agegrps","usc","45-64",7217,0
"agegrps","usc","65+",3540,0
"agegrps","difficulty","Under 5",2411,0
"agegrps","difficulty","5-17",7116,0
"agegrps","difficulty","18-44",11505,0
"agegrps","difficulty","45-64",7297,0
"agegrps","difficulty","65+",3564,0
"agegrps","rsn_MD","Under 5",50,0
"agegrps","rsn_MD","5-17",157,0
"agegrps","rsn_MD","18-44",666,0
"agegrps","rsn_MD","45-64",589,0
"agegrps","rsn_MD","65+",149,0
"agegrps","rsn_DN","Under 5",48,0
"agegrps","rsn_DN","5-17",322,0
"agegrps","rsn_DN","18-44",991,0
"agegrps","rsn_DN","45-64",592,0
"agegrps","rsn_DN","65+",166,0
"agegrps","rsn_PM","Under 5",21,0
"agegrps","rsn_PM","5-17",67,0
"agegrps","rsn_PM","18-44",413,0
"agegrps","rsn_PM","45-64",467,0
"agegrps","rsn_PM","65+",175,0
"agegrps","adult_nosmok","18-44",887,0
"agegrps","adult_nosmok","45-64",849,0
"agegrps","adult_nosmok","65+",274,0
"agegrps","child_dental","Under 5",1623,0
"agegrps","child_dental","5-17",7132,0
"agegrps","diab_a1c","18-44",232,0
"agegrps","diab_a1c","45-64",778,0
"agegrps","diab_a1c","65+",644,0
"agegrps","diab_chol","18-44",232,0
"agegrps","diab_chol","45-64",778,0
"agegrps","diab_chol","65+",644,0
"agegrps","diab_eye","18-44",232,0
"agegrps","diab_eye","45-64",778,0
"agegrps","diab_eye","65+",644,0
"agegrps","diab_foot","18-44",232,0
"agegrps","diab_foot","45-64",778,0
"agegrps","diab_foot","65+",644,0
"agegrps","diab_flu","18-44",232,0
"agegrps","diab_flu","45-64",778,0
"agegrps","diab_flu","65+",644,0
"agegrps","adult_routine","18-44",5285,0
"agegrps","adult_routine","45-64",4603,0
"agegrps","adult_routine","65+",2682,0
"agegrps","adult_illness","18-44",2651,0
"agegrps","adult_illness","45-64",2077,0
"agegrps","adult_illness","65+",1189,0
"agegrps","adult_listen","18-44",5885,0
"agegrps","adult_listen","45-64",4941,0
"agegrps","adult_listen","65+",2826,0
"agegrps","adult_explain","18-44",5885,0
"agegrps","adult_explain","45-64",4941,0
"agegrps","adult_explain","65+",2826,0
"agegrps","adult_respect","18-44",5885,0
"agegrps","adult_respect","45-64",4941,0
"agegrps","adult_respect","65+",2826,0
"agegrps","adult_time","18-44",5885,0
"agegrps","adult_time","45-64",4941,0
"agegrps","adult_time","65+",2826,0
"agegrps","adult_rating","18-44",5885,0
"agegrps","adult_rating","45-64",4941,0
"agegrps","adult_rating","65+",2826,0
"agegrps","child_routine","Under 5",1816,0
"agegrps","child_routine","5-17",4250,0
"agegrps","child_illness","Under 5",597,0
"agegrps","child_illness","5-17",1222,0
"agegrps","child_listen","Under 5",2063,0
"agegrps","child_listen","5-17",4896,0
"agegrps","child_explain","Under 5",2063,0
"agegrps","child_explain","5-17",4896,0
"agegrps","child_respect","Under 5",2063,0
"agegrps","child_respect","5-17",4896,0
"agegrps","child_time","Under 5",2063,0
"agegrps","child_time","5-17",4896,0
"agegrps","child_rating","Under 5",2063,0
"agegrps","child_rating","5-17",4896,0
"region","usc","Northeast",4623,0
"region","usc","Midwest",6023,0
"region","usc","South",12344,0
"region","usc","West",8601,0
"region","difficulty","Northeast",4676,0
"region","difficulty","Midwest",6067,0
"region","difficulty","South",12480,0
"region","difficulty","West",8670,0
"region","rsn_MD","Northeast",196,0
"region","rsn_MD","Midwest",288,0
"region","rsn_MD","South",693,0
"region","rsn_MD","West",434,0
"region","rsn_DN","Northeast",206,0
"region","rsn_DN","Midwest",390,0
"region","rsn_DN","South",996,0
"region","rsn_DN","West",527,0
"region","rsn_PM","Northeast",134,0
"region","rsn_PM","Midwest",204,0
"region","rsn_PM","South",539,0
"region","rsn_PM","West",266,0
"region","adult_nosmok","Northeast",378,0
"region","adult_nosmok","Midwest",441,0
"region","adult_nosmok","South",823,0
"region","adult_nosmok","West",368,0
"region","child_dental","Northeast",1162,0
"region","child_dental","Midwest",1530,0
"region","child_dental","South",3418,0
"region","child_dental","West",2645,0
"region","diab_a1c","Northeast",216,0
"region","diab_a1c","Midwest",310,0
"region","diab_a1c","South",720,0
"region","diab_a1c","West",408,0
"region","diab_chol","Northeast",216,0
"region","diab_chol","Midwest",310,0
"region","diab_chol","South",720,0
"region","diab_chol","West",408,0
"region","diab_eye","Northeast",216,0
"region","diab_eye","Midwest",310,0
"region","diab_eye","South",720,0
"region","diab_eye","West",408,0
"region","diab_foot","Northeast",216,0
"region","diab_foot","Midwest",310,0
"region","diab_foot","South",720,0
"region","diab_foot","West",408,0
"region","diab_flu","Northeast",216,0
"region","diab_flu","Midwest",310,0
"region","diab_flu","South",720,0
"region","diab_flu","West",408,0
"region","adult_routine","Northeast",2110,0
"region","adult_routine","Midwest",2723,0
"region","adult_routine","South",4705,0
"region","adult_routine","West",3032,0
"region","adult_illness","Northeast",914,0
"region","adult_illness","Midwest",1200,0
"region","adult_illness","South",2411,0
"region","adult_illness","West",1392,0
"region","adult_listen","Northeast",2273,0
"region","adult_listen","Midwest",2895,0
"region","adult_listen","South",5206,0
"region","adult_listen","West",3278,0
"region","adult_explain","Northeast",2273,0
"region","adult_explain","Midwest",2895,0
"region","adult_explain","South",5206,0
"region","adult_explain","West",3278,0
"region","adult_respect","Northeast",2273,0
"region","adult_respect","Midwest",2895,0
"region","adult_respect","South",5206,0
"region","adult_respect","West",3278,0
"region","adult_time","Northeast",2273,0
"region","adult_time","Midwest",2895,0
"region","adult_time","South",5206,0
"region","adult_time","West",3278,0
"region","adult_rating","Northeast",2273,0
"region","adult_rating","Midwest",2895,0
"region","adult_rating","South",5206,0
"region","adult_rating","West",3278,0
"region","child_routine","Northeast",952,0
"region","child_routine","Midwest",1203,0
"region","child_routine","South",2313,0
"region","child_routine","West",1598,0
"region","child_illness","Northeast",257,0
"region","child_illness","Midwest",405,0
"region","child_illness","South",708,0
"region","child_illness","West",449,0
"region","child_listen","Northeast",1053,0
"region","child_listen","Midwest",1306,0
"region","child_listen","South",2701,0
"region","child_listen","West",1899,0
"region","child_explain","Northeast",1053,0
"region","child_explain","Midwest",1306,0
"region","child_explain","South",2701,0
"region","child_explain","West",1899,0
"region","child_respect","Northeast",1053,0
"region","child_respect","Midwest",1306,0
"region","child_respect","South",2701,0
"region","child_respect","West",1899,0
"region","child_time","Northeast",1053,0
"region","child_time","Midwest",1306,0
"region","child_time","South",2701,0
"region","child_time","West",1899,0
"region","child_rating","Northeast",1053,0
"region","child_rating","Midwest",1306,0
"region","child_rating","South",2701,0
"region","child_rating","West",1899,0
"married","usc","Married",12187,0
"married","usc","Widowed",1583,0
"married","usc","Divorced",2438,0
"married","usc","Separated",559,0
