"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"ind","usc","Total","No usual source of health care",61549539.612834,1968726.21198134
"ind","usc","Total","Office-based",179164932.811933,5109412.65092751
"ind","usc","Total","Hospital (not ER)",69751139.220755,2863229.8908767
"ind","usc","Total","Emergency room",1144532.039236,152952.81270858
"ind","usc","Total","Missing",0,0
"ind","difficulty","Total","delay_ANY",33340068.649341,1360607.90651928
"ind","difficulty","Total","delay_MD",13634673.058,630305.603882233
"ind","difficulty","Total","delay_DN",17416289.846022,878191.029997014
"ind","difficulty","Total","delay_PM",11152385.702126,600508.385758163
"ind","rsn_MD","Total","afford_MD",4173692.980316,319801.760336876
"ind","rsn_MD","Total","insure_MD",2405080.985416,192004.537259968
"ind","rsn_MD","Total","other_MD",7451344.265899,442379.401524086
"ind","rsn_DN","Total","afford_DN",10689790.441115,621507.401540422
"ind","rsn_DN","Total","insure_DN",2142891.544376,280553.629881558
"ind","rsn_DN","Total","other_DN",5009754.768582,323154.262889113
"ind","rsn_PM","Total","afford_PM",3910398.283185,269628.626475456
"ind","rsn_PM","Total","insure_PM",2981946.482414,296459.807514775
"ind","rsn_PM","Total","other_PM",4493161.359218,280260.181213635
"ind","adult_nosmok","Total","Told to quit",13329154.550677,590757.197733309
"ind","adult_nosmok","Total","Not told to quit",5204844.399688,368634.339954811
"ind","adult_nosmok","Total","Had no visits in the last 12 months",1489641.750175,141798.871581134
"ind","adult_nosmok","Total","Not ascertained",630482.418626,122980.51242155
"ind","adult_nosmok","Total","Inapplicable",0,0
"ind","child_dental","Total","One or more dental visits",36211665.08274,1540530.59872305
"ind","child_dental","Total","No dental visits in past year",30277176.079637,1129082.77479447
"ind","diab_a1c","Total","Had measurement",17892111.33743,695336.108032033
"ind","diab_a1c","Total","Did not have measurement",1413207.388588,152873.8746986
"ind","diab_a1c","Total","Don't know/Non-response",5663180.739873,365279.970293737
"ind","diab_a1c","Total","Inapplicable",0,0
"ind","diab_chol","Total","Don't know/Non-response",325665.979943,73936.8252588956
"ind","diab_chol","Total","In the past year",22636014.937856,842329.287851991
"ind","diab_chol","Total","Missing",0,0
"ind","diab_chol","Total","More than 1 year ago",1598940.993081,174902.456992315
"ind","diab_chol","Total","Never had cholesterol checked",407877.555011,68638.8940089558
"ind","diab_eye","Total","Don't know/Non-response",341991.877413,79114.2234685541
"ind","diab_eye","Total","In the past year",17018416.986266,679713.287076481
"ind","diab_eye","Total","Missing",0,0
"ind","diab_eye","Total","More than 1 year ago",5159979.636305,317732.977775564
"ind","diab_eye","Total","Never had eye exam",2448110.965907,197651.006116656
"ind","diab_foot","Total","Don't know/Non-response",397834.150171,97123.6930204878
"ind","diab_foot","Total","In the past year",18372535.501306,672476.520210765
"ind","diab_foot","Total","Inapplicable",0,0
"ind","diab_foot","Total","More than 1 year ago",1857638.1339,169763.084886902
"ind","diab_foot","Total","Never had feet checked",4340491.680514,291364.543503917
"ind","diab_flu","Total","Don't know/Non-response",385266.856316,71121.8694818508
"ind","diab_flu","Total","In the past year",16588873.881412,709700.246302449
"ind","diab_flu","Total","Missing",0,0
"ind","diab_flu","Total","More than 1 year ago",3371241.052028,278708.915170584
"ind","diab_flu","Total","Never had flu shot",4623117.676135,326803.577426604
"ind","adult_routine","Total","Always",82246902.207708,2330222.94753081
"ind","adult_routine","Total","Usually",41081041.025485,1534789.62508324
"ind","adult_routine","Total","Sometimes/Never",19742760.126815,755019.23114085
"ind","adult_routine","Total","Don't know/Non-response",4080850.616155,286304.704390049
"ind","adult_routine","Total","Inapplicable",0,0
"ind","adult_illness","Total","Always",39524766.115994,1323996.47063512
"ind","adult_illness","Total","Usually",13880324.981648,694197.136555275
"ind","adult_illness","Total","Sometimes/Never",7195080.412604,485674.107091913
"ind","adult_illness","Total","Don't know/Non-response",1826741.112062,156277.965429622
"ind","adult_illness","Total","Inapplicable",0,0
"ind","adult_listen","Total","Always",104847034.020324,2840207.24617354
"ind","adult_listen","Total","Usually",43130820.764306,1488957.61041819
"ind","adult_listen","Total","Sometimes/Never",10645880.954725,523840.614064778
"ind","adult_listen","Total","Don't know/Non-response",1253583.261826,146417.879315782
"ind","adult_listen","Total","Inapplicable",0,0
"ind","adult_explain","Total","Always",105559842.204758,2842908.23898868
"ind","adult_explain","Total","Usually",45469865.033713,1506116.72086594
"ind","adult_explain","Total","Sometimes/Never",8082759.728258,464101.34827657
"ind","adult_explain","Total","Don't know/Non-response",764852.034452,119982.214628953
"ind","adult_explain","Total","Inapplicable",0,0
"ind","adult_respect","Total","Always",111303274.106543,2996967.86148634
