"rowGrp","colGrp","rowLevels","colLevels","n","n_se"
"Condition","ind","Acute Bronchitis and URI","Total",4370,0
"Condition","ind","Allergic reactions","Total",645,0
"Condition","ind","Anemia and other deficiencies","Total",267,0
"Condition","ind","Appendicitis","Total",40,0
"Condition","ind","Back problems","Total",1525,0
"Condition","ind","Cancer","Total",960,0
"Condition","ind","Cataract","Total",446,0
"Condition","ind","Cerebrovascular disease","Total",292,0
"Condition","ind","CNS infection","Total",22,0
"Condition","ind","Coma, brain damage","Total",14,0
"Condition","ind","Complications of pregnancy and birth","Total",113,0
"Condition","ind","Complications of surgery or device","Total",101,0
"Condition","ind","Congenital anomalies","Total",173,0
"Condition","ind","COPD, asthma","Total",5004,0
"Condition","ind","Diabetes mellitus","Total",1356,0
"Condition","ind","Disorders of mouth and esophagus","Total",141,0
"Condition","ind","Disorders of teeth and jaws","Total",991,0
"Condition","ind","Disorders of the upper GI","Total",1225,0
"Condition","ind","Epilepsy and convulsions","Total",287,0
"Condition","ind","Female genital disorders, and contraception","Total",1651,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",263,0
"Condition","ind","Glaucoma","Total",358,0
"Condition","ind","Headache","Total",860,0
"Condition","ind","Heart disease","Total",2043,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",101,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",117,0
"Condition","ind","Hernias","Total",354,0
"Condition","ind","Hyperlipidemia","Total",947,0
"Condition","ind","Hypertension","Total",3355,0
"Condition","ind","Infectious diseases","Total",1927,0
"Condition","ind","Influenza","Total",540,0
"Condition","ind","Intestinal infection","Total",1261,0
"Condition","ind","Kidney Disease","Total",288,0
"Condition","ind","Male genital disorders","Total",336,0
"Condition","ind","Mental disorders","Total",2441,0
"Condition","ind","Non-malignant breast disease","Total",242,0
"Condition","ind","Non-malignant neoplasm","Total",342,0
"Condition","ind","Normal birth/live born","Total",774,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",2068,0
"Condition","ind","Other bone and musculoskeletal disease","Total",502,0
"Condition","ind","Other care and screening","Total",2187,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",725,0
"Condition","ind","Other CNS disorders","Total",1442,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1410,0
"Condition","ind","Other eye disorders","Total",1876,0
"Condition","ind","Other GI","Total",855,0
"Condition","ind","Other stomach and intestinal disorders","Total",172,0
"Condition","ind","Other urinary","Total",333,0
"Condition","ind","Otitis media","Total",1619,0
"Condition","ind","Paralysis","Total",47,0
"Condition","ind","Perinatal Conditions","Total",15,0
"Condition","ind","Pneumonia","Total",459,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",284,0
"Condition","ind","Residual Codes","Total",1714,0
"Condition","ind","Skin disorders","Total",2346,0
"Condition","ind","Symptoms","Total",830,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1409,0
"Condition","ind","Thyroid disease","Total",928,0
"Condition","ind","Tonsillitis","Total",226,0
"Condition","ind","Trauma-related disorders","Total",4030,0
"Condition","ind","Urinary tract infections","Total",908,0
"Condition","event","Acute Bronchitis and URI","ERT",182,0
"Condition","event","Allergic reactions","ERT",44,0
"Condition","event","Anemia and other deficiencies","ERT",5,0
"Condition","event","Appendicitis","ERT",16,0
"Condition","event","Back problems","ERT",104,0
"Condition","event","Cancer","ERT",33,0
"Condition","event","Cataract","ERT",2,0
"Condition","event","Cerebrovascular disease","ERT",62,0
"Condition","event","CNS infection","ERT",2,0
"Condition","event","Coma, brain damage","ERT",5,0
"Condition","event","Complications of pregnancy and birth","ERT",29,0
"Condition","event","Complications of surgery or device","ERT",7,0
"Condition","event","Congenital anomalies","ERT",13,0
"Condition","event","COPD, asthma","ERT",362,0
"Condition","event","Diabetes mellitus","ERT",53,0
"Condition","event","Disorders of mouth and esophagus","ERT",3,0
"Condition","event","Disorders of teeth and jaws","ERT",29,0
"Condition","event","Disorders of the upper GI","ERT",111,0
"Condition","event","Epilepsy and convulsions","ERT",41,0
"Condition","event","Female genital disorders, and contraception","ERT",49,0
"Condition","event","Gallbladder, pancreatic, and liver disease","ERT",56,0
"Condition","event","Glaucoma","ERT",1,0
"Condition","event","Headache","ERT",83,0
"Condition","event","Heart disease","ERT",259,0
"Condition","event","Hemorrhagic, coagulation, and disorders of White Blood cells","ERT",5,0
"Condition","event","Hereditary, degenerative and other nervous system disorders","ERT",4,0
"Condition","event","Hernias","ERT",25,0
"Condition","event","Hyperlipidemia","ERT",3,0
"Condition","event","Hypertension","ERT",51,0
"Condition","event","Infectious diseases","ERT",108,0
"Condition","event","Influenza","ERT",25,0
"Condition","event","Intestinal infection","ERT",133,0
"Condition","event","Kidney Disease","ERT",59,0
"Condition","event","Male genital disorders","ERT",14,0
"Condition","event","Mental disorders","ERT",78,0
"Condition","event","Non-malignant breast disease","ERT",3,0
"Condition","event","Non-malignant neoplasm","ERT",6,0
"Condition","event","Normal birth/live born","ERT",75,0
"Condition","event","Osteoarthritis and other non-traumatic joint disorders","ERT",52,0
"Condition","event","Other bone and musculoskeletal disease","ERT",8,0
"Condition","event","Other care and screening","ERT",6,0
"Condition","event","Other circulatory conditions arteries, veins, and lymphatics","ERT",46,0
"Condition","event","Other CNS disorders","ERT",98,0
"Condition","event","Other endocrine, nutritional & immune disorder","ERT",59,0
"Condition","event","Other eye disorders","ERT",37,0
"Condition","event","Other GI","ERT",67,0
"Condition","event","Other stomach and intestinal disorders","ERT",25,0
"Condition","event","Other urinary","ERT",12,0
"Condition","event","Otitis media","ERT",133,0
"Condition","event","Paralysis","ERT",5,0
"Condition","event","Pneumonia","ERT",88,0
"Condition","event","Poisoning by medical and non-medical substances","ERT",83,0
"Condition","event","Residual Codes","ERT",45,0
"Condition","event","Skin disorders","ERT",62,0
"Condition","event","Symptoms","ERT",143,0
"Condition","event","Systemic lupus and connective tissues disorders","ERT",81,0
"Condition","event","Thyroid disease","ERT",1,0
"Condition","event","Tonsillitis","ERT",19,0
"Condition","event","Trauma-related disorders","ERT",1428,0
"Condition","event","Urinary tract infections","ERT",106,0
"Condition","event","Acute Bronchitis and URI","HHT",6,0
"Condition","event","Allergic reactions","HHT",2,0
"Condition","event","Anemia and other deficiencies","HHT",10,0
"Condition","event","Appendicitis","HHT",5,0
"Condition","event","Back problems","HHT",39,0
"Condition","event","Cancer","HHT",78,0
"Condition","event","Cataract","HHT",13,0
"Condition","event","Cerebrovascular disease","HHT",91,0
"Condition","event","CNS infection","HHT",2,0
"Condition","event","Coma, brain damage","HHT",2,0
"Condition","event","Complications of pregnancy and birth","HHT",3,0
"Condition","event","Complications of surgery or device","HHT",5,0
"Condition","event","Congenital anomalies","HHT",7,0
"Condition","event","COPD, asthma","HHT",99,0
"Condition","event","Diabetes mellitus","HHT",122,0
"Condition","event","Disorders of teeth and jaws","HHT",3,0
"Condition","event","Disorders of the upper GI","HHT",24,0
"Condition","event","Epilepsy and convulsions","HHT",17,0
"Condition","event","Female genital disorders, and contraception","HHT",7,0
