"rowGrp","colGrp","rowLevels","colLevels","totEXP","totEXP_se"
"Condition","ind","Acute Bronchitis and URI","Total",5469109841.77414,359679772.147462
"Condition","ind","Allergic reactions","Total",1388318740.85843,249733015.239628
"Condition","ind","Anemia and other deficiencies","Total",1088001127.42654,279031035.163238
"Condition","ind","Appendicitis","Total",1854859953.54973,539676613.984199
"Condition","ind","Back problems","Total",17464371084.2113,2065499707.49933
"Condition","ind","Cancer","Total",38901794663.8084,6681647655.81435
"Condition","ind","Cataract","Total",4093377316.69355,420232319.957453
"Condition","ind","Cerebrovascular disease","Total",14938788308.5111,3327446266.81319
"Condition","ind","CNS infection","Total",450699010.942541,199772351.032454
"Condition","ind","Coma, brain damage","Total",277781629.759643,147013829.320415
"Condition","ind","Complications of pregnancy and birth","Total",1530489797.87251,474766863.918798
"Condition","ind","Complications of surgery or device","Total",2472121616.48132,1173604144.81868
"Condition","ind","Congenital anomalies","Total",2206448340.95149,556888195.017753
"Condition","ind","COPD, asthma","Total",36487210534.3917,4182711030.02878
"Condition","ind","Diabetes mellitus","Total",18289929755.0504,1597762054.60311
"Condition","ind","Disorders of mouth and esophagus","Total",794622137.172604,398465836.176185
"Condition","ind","Disorders of teeth and jaws","Total",1287119502.42162,371053276.348785
"Condition","ind","Disorders of the upper GI","Total",8953881281.46143,951570026.455718
"Condition","ind","Epilepsy and convulsions","Total",4323924892.18394,1198574085.3664
"Condition","ind","Female genital disorders, and contraception","Total",8409089695.62171,1132316001.10284
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",6497720813.23926,1299008773.51694
"Condition","ind","Glaucoma","Total",1444857291.51893,176454888.615637
"Condition","ind","Headache","Total",4417792344.68786,1411643281.19757
"Condition","ind","Heart disease","Total",56700287626.4926,5846102818.59698
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",1765353019.63059,499603277.9331
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",3466117283.69778,905251106.821045
"Condition","ind","Hernias","Total",3373443582.90736,518843373.744237
"Condition","ind","Hyperlipidemia","Total",7743578870.04015,480556051.641384
"Condition","ind","Hypertension","Total",23397258264.4637,1725863617.60187
"Condition","ind","Infectious diseases","Total",9851839916.49681,2289854154.24459
"Condition","ind","Influenza","Total",503571750.921684,61055073.0854394
"Condition","ind","Intestinal infection","Total",1602213244.75388,177993743.095623
"Condition","ind","Kidney Disease","Total",8169559317.83948,1438090070.12129
"Condition","ind","Male genital disorders","Total",2604558508.16956,503410331.440024
"Condition","ind","Mental disorders","Total",34444720323.5491,3665630763.11474
"Condition","ind","Non-malignant breast disease","Total",1697536345.09189,285683270.266179
"Condition","ind","Non-malignant neoplasm","Total",3943240690.43781,696724829.172381
"Condition","ind","Normal birth/live born","Total",21271850339.4762,1808564798.45973
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",17694954414.6795,1419517153.14386
"Condition","ind","Other bone and musculoskeletal disease","Total",4389245649.28559,578207392.461276
"Condition","ind","Other care and screening","Total",10673465192.1922,1618103125.27588
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",19488074503.4757,4063047513.82588
"Condition","ind","Other CNS disorders","Total",10876401270.1173,1692714296.87885
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",6971877337.2452,1060044420.19614
"Condition","ind","Other eye disorders","Total",4864312226.20877,532404063.271667
"Condition","ind","Other GI","Total",9396557840.81033,1237972139.43932
"Condition","ind","Other stomach and intestinal disorders","Total",5963831708.95279,1696161018.5409
"Condition","ind","Other urinary","Total",4393864650.77764,1749302934.05983
"Condition","ind","Otitis media","Total",3001665770.70229,538227105.849243
"Condition","ind","Paralysis","Total",3824391968.04367,2103440726.62264
"Condition","ind","Perinatal Conditions","Total",2979693752.43843,2336282229.02733
"Condition","ind","Pneumonia","Total",12641742233.9319,3071420170.05909
"Condition","ind","Poisoning by medical and non-medical substances","Total",1216074639.92054,363002463.030047
"Condition","ind","Residual Codes","Total",8500946375.55273,761060872.984387
"Condition","ind","Skin disorders","Total",12049928879.6056,2066119393.63135
"Condition","ind","Symptoms","Total",3541396545.08058,617710071.979586
"Condition","ind","Systemic lupus and connective tissues disorders","Total",11203468529.2172,1294483949.24089
"Condition","ind","Thyroid disease","Total",3584501271.72637,466785174.507478
"Condition","ind","Tonsillitis","Total",624442463.403088,141222516.390282
"Condition","ind","Trauma-related disorders","Total",41132311588.4117,3321336376.96746
"Condition","ind","Urinary tract infections","Total",3790995147.69117,769266628.520792
"Condition","event","Acute Bronchitis and URI","ERT",338171090.120703,61017951.3539113
"Condition","event","Allergic reactions","ERT",102719489.921434,33950999.2719631
"Condition","event","Anemia and other deficiencies","ERT",8690230.94169327,6973140.29123682
"Condition","event","Appendicitis","ERT",178504481.47133,92373377.2901489
"Condition","event","Back problems","ERT",429621416.49924,107168374.799995
"Condition","event","Cancer","ERT",193299441.827925,77849262.8730962
"Condition","event","Cerebrovascular disease","ERT",397805561.863849,90594951.4730031
"Condition","event","CNS infection","ERT",15626502.4813734,11065234.6635193
"Condition","event","Coma, brain damage","ERT",8205167.25072594,6176534.72222847
"Condition","event","Complications of pregnancy and birth","ERT",270939474.587291,121994796.239571
"Condition","event","Complications of surgery or device","ERT",10817561.0229883,5360794.01574043
"Condition","event","Congenital anomalies","ERT",7096462.21948312,5018149.81293096
"Condition","event","COPD, asthma","ERT",1119923254.88641,153685158.166067
"Condition","event","Diabetes mellitus","ERT",160770300.254438,52385456.0077472
"Condition","event","Disorders of mouth and esophagus","ERT",11711478.1317663,8401259.2374
"Condition","event","Disorders of teeth and jaws","ERT",54163369.101461,26014927.0247769
"Condition","event","Disorders of the upper GI","ERT",584222744.743962,139664640.24425
"Condition","event","Epilepsy and convulsions","ERT",122838516.945967,44486690.276285
"Condition","event","Female genital disorders, and contraception","ERT",219507651.092925,80707985.1992243
"Condition","event","Gallbladder, pancreatic, and liver disease","ERT",118495047.376842,36316162.0587051
"Condition","event","Headache","ERT",276308682.542042,82875621.9342537
"Condition","event","Heart disease","ERT",1788021685.24417,308942977.847179
"Condition","event","Hemorrhagic, coagulation, and disorders of White Blood cells","ERT",53861196.3565632,51086286.6290199
"Condition","event","Hereditary, degenerative and other nervous system disorders","ERT",6580290.04551042,5076461.06890158
"Condition","event","Hernias","ERT",176162978.14827,122986234.915204
"Condition","event","Hyperlipidemia","ERT",13651796.2350637,13651796.2350637
"Condition","event","Hypertension","ERT",303674762.865759,90476728.824093
"Condition","event","Infectious diseases","ERT",253042894.528501,52692675.7979089
"Condition","event","Influenza","ERT",59716833.9853475,33404448.4467337
"Condition","event","Intestinal infection","ERT",390552181.397138,73160116.6183389
"Condition","event","Kidney Disease","ERT",692320244.294062,184364824.299347
"Condition","event","Male genital disorders","ERT",121324964.035459,58471385.901606
"Condition","event","Mental disorders","ERT",242386609.692647,63187754.583644
"Condition","event","Non-malignant neoplasm","ERT",20937721.1790315,15760482.4409634
"Condition","event","Normal birth/live born","ERT",473164055.330901,188097613.358455
"Condition","event","Osteoarthritis and other non-traumatic joint disorders","ERT",195548198.958149,48882072.5447208
"Condition","event","Other bone and musculoskeletal disease","ERT",39223525.7300691,19166187.9975377
"Condition","event","Other care and screening","ERT",49134467.5259169,19733489.7021071
"Condition","event","Other circulatory conditions arteries, veins, and lymphatics","ERT",434545059.107529,181541763.000566
"Condition","event","Other CNS disorders","ERT",371594217.892448,66925022.3342157
"Condition","event","Other endocrine, nutritional & immune disorder","ERT",445070734.02231,167687092.759193
"Condition","event","Other eye disorders","ERT",180161149.057127,86921269.6056096
"Condition","event","Other GI","ERT",348287425.87922,92887263.9969697
"Condition","event","Other stomach and intestinal disorders","ERT",118156662.972869,45776522.4781917
"Condition","event","Other urinary","ERT",60049752.4792641,46474713.3302203
"Condition","event","Otitis media","ERT",163433453.124208,27317472.5489856
"Condition","event","Paralysis","ERT",5088409.67452531,4102674.1155837
"Condition","event","Perinatal Conditions","ERT",18983092.769802,18983092.769802
"Condition","event","Pneumonia","ERT",657125197.203297,161031093.024844
"Condition","event","Poisoning by medical and non-medical substances","ERT",207480415.099302,70616844.5313587
"Condition","event","Residual Codes","ERT",261313215.696882,56350154.8758021
"Condition","event","Skin disorders","ERT",214281128.430937,51477709.7237968
"Condition","event","Symptoms","ERT",344096315.547533,84156789.7318044
"Condition","event","Systemic lupus and connective tissues disorders","ERT",175633102.566947,30679376.3251093
"Condition","event","Thyroid disease","ERT",3046259.0776455,2374093.15748215
"Condition","event","Tonsillitis","ERT",14611136.7552765,6168533.35888897
"Condition","event","Trauma-related disorders","ERT",5630628185.09102,561128289.207705
"Condition","event","Urinary tract infections","ERT",292890290.645603,49914724.6297874
"Condition","event","Acute Bronchitis and URI","HHT",113538470.641557,69489995.0357372
