"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"Condition","ind","Acute Bronchitis and URI","Total",3715,0
"Condition","ind","Allergic reactions","Total",662,0
"Condition","ind","Anemia and other deficiencies","Total",319,0
"Condition","ind","Appendicitis","Total",32,0
"Condition","ind","Back problems","Total",1801,0
"Condition","ind","Cancer","Total",992,0
"Condition","ind","Cataract","Total",438,0
"Condition","ind","Cerebrovascular disease","Total",263,0
"Condition","ind","CNS infection","Total",30,0
"Condition","ind","Coma, brain damage","Total",5,0
"Condition","ind","Complications of pregnancy and birth","Total",155,0
"Condition","ind","Complications of surgery or device","Total",94,0
"Condition","ind","Congenital anomalies","Total",170,0
"Condition","ind","COPD, asthma","Total",5249,0
"Condition","ind","Diabetes mellitus","Total",1709,0
"Condition","ind","Disorders of mouth and esophagus","Total",90,0
"Condition","ind","Disorders of teeth and jaws","Total",916,0
"Condition","ind","Disorders of the upper GI","Total",2145,0
"Condition","ind","Epilepsy and convulsions","Total",278,0
"Condition","ind","Female genital disorders, and contraception","Total",1657,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",299,0
"Condition","ind","Glaucoma","Total",362,0
"Condition","ind","Headache","Total",870,0
"Condition","ind","Heart disease","Total",2023,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",112,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",139,0
"Condition","ind","Hernias","Total",281,0
"Condition","ind","Hyperlipidemia","Total",2061,0
"Condition","ind","Hypertension","Total",4085,0
"Condition","ind","Infectious diseases","Total",1723,0
"Condition","ind","Influenza","Total",549,0
"Condition","ind","Intestinal infection","Total",996,0
"Condition","ind","Kidney Disease","Total",419,0
"Condition","ind","Male genital disorders","Total",319,0
"Condition","ind","Mental disorders","Total",3370,0
"Condition","ind","Non-malignant breast disease","Total",275,0
"Condition","ind","Non-malignant neoplasm","Total",412,0
"Condition","ind","Normal birth/live born","Total",807,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",2473,0
"Condition","ind","Other bone and musculoskeletal disease","Total",788,0
"Condition","ind","Other care and screening","Total",2665,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",765,0
"Condition","ind","Other CNS disorders","Total",1433,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1199,0
"Condition","ind","Other eye disorders","Total",1529,0
"Condition","ind","Other GI","Total",853,0
"Condition","ind","Other stomach and intestinal disorders","Total",157,0
"Condition","ind","Other urinary","Total",452,0
"Condition","ind","Otitis media","Total",1292,0
"Condition","ind","Paralysis","Total",35,0
"Condition","ind","Perinatal Conditions","Total",29,0
"Condition","ind","Pneumonia","Total",488,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",247,0
"Condition","ind","Residual Codes","Total",1822,0
"Condition","ind","Skin disorders","Total",2352,0
"Condition","ind","Symptoms","Total",908,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1549,0
"Condition","ind","Thyroid disease","Total",1216,0
"Condition","ind","Tonsillitis","Total",146,0
"Condition","ind","Trauma-related disorders","Total",3526,0
"Condition","ind","Urinary tract infections","Total",846,0
"Condition","event","Acute Bronchitis and URI","ERT",183,0
"Condition","event","Allergic reactions","ERT",70,0
"Condition","event","Anemia and other deficiencies","ERT",12,0
"Condition","event","Appendicitis","ERT",23,0
"Condition","event","Back problems","ERT",118,0
"Condition","event","Cancer","ERT",43,0
"Condition","event","Cataract","ERT",2,0
"Condition","event","Cerebrovascular disease","ERT",64,0
"Condition","event","CNS infection","ERT",7,0
"Condition","event","Complications of pregnancy and birth","ERT",37,0
"Condition","event","Complications of surgery or device","ERT",15,0
"Condition","event","Congenital anomalies","ERT",7,0
"Condition","event","COPD, asthma","ERT",399,0
"Condition","event","Diabetes mellitus","ERT",62,0
"Condition","event","Disorders of mouth and esophagus","ERT",4,0
"Condition","event","Disorders of teeth and jaws","ERT",43,0
"Condition","event","Disorders of the upper GI","ERT",118,0
"Condition","event","Epilepsy and convulsions","ERT",53,0
"Condition","event","Female genital disorders, and contraception","ERT",36,0
