"rowGrp","colGrp","rowLevels","colLevels","totEVT","totEVT_se"
"Condition","ind","Acute Bronchitis and URI","Total",83781342.2642622,3468181.64681523
"Condition","ind","Allergic reactions","Total",19445187.2233758,1820922.82092146
"Condition","ind","Anemia and other deficiencies","Total",11606094.769207,1445591.72089669
"Condition","ind","Appendicitis","Total",1261270.75682406,306803.410329868
"Condition","ind","Back problems","Total",149476136.529051,7464802.85949628
"Condition","ind","Cancer","Total",90961035.1529716,6364665.03791803
"Condition","ind","Cataract","Total",17857360.3081094,1367239.28124612
"Condition","ind","Cerebrovascular disease","Total",19086663.1145219,2442377.03144477
"Condition","ind","CNS infection","Total",1029695.26504502,310877.310491347
"Condition","ind","Coma, brain damage","Total",54129.9095924656,26834.5319009377
"Condition","ind","Complications of pregnancy and birth","Total",4570427.38491139,775647.78034481
"Condition","ind","Complications of surgery or device","Total",3431754.5657452,641952.154871515
"Condition","ind","Congenital anomalies","Total",7547366.90587529,1150180.10495679
"Condition","ind","COPD, asthma","Total",200258630.103715,7425415.76994926
"Condition","ind","Diabetes mellitus","Total",157121222.944736,5766062.90484663
"Condition","ind","Disorders of mouth and esophagus","Total",1811871.55780877,326939.793717206
"Condition","ind","Disorders of teeth and jaws","Total",13009439.9177835,854315.935574503
"Condition","ind","Disorders of the upper GI","Total",64164524.6296676,2257432.66876542
"Condition","ind","Epilepsy and convulsions","Total",10657993.3614054,968480.160946697
"Condition","ind","Female genital disorders, and contraception","Total",37391190.9562189,2092227.51062423
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",12211658.7780827,1258640.97992902
"Condition","ind","Glaucoma","Total",18586320.0034333,1546958.20940584
"Condition","ind","Headache","Total",32755636.0802507,2416742.69967025
"Condition","ind","Heart disease","Total",127575172.174715,6051649.29246882
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",3828196.41186196,680211.905782474
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",17195929.1512137,2384992.59322666
"Condition","ind","Hernias","Total",7832292.53814108,761452.463811035
"Condition","ind","Hyperlipidemia","Total",136400769.618892,4333100.92382228
"Condition","ind","Hypertension","Total",251256062.125176,7212479.99900076
"Condition","ind","Infectious diseases","Total",46687215.9468651,2598530.09060933
"Condition","ind","Influenza","Total",5192768.78713424,532023.66800042
"Condition","ind","Intestinal infection","Total",14947551.2475484,921857.370960254
"Condition","ind","Kidney Disease","Total",44891160.1729287,6621442.42053154
"Condition","ind","Male genital disorders","Total",15008830.7244389,1250771.01606959
"Condition","ind","Mental disorders","Total",232031059.506255,10179346.4455529
"Condition","ind","Non-malignant breast disease","Total",4682437.97311681,506238.096736153
"Condition","ind","Non-malignant neoplasm","Total",10027137.5604657,798001.306934954
"Condition","ind","Normal birth/live born","Total",48254646.4173248,3280327.35141191
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",138825690.900312,5669515.43623513
"Condition","ind","Other bone and musculoskeletal disease","Total",35871129.6184775,2325117.67521631
"Condition","ind","Other care and screening","Total",74909524.2640752,4100369.80531775
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",26848566.2491608,1930778.70196668
"Condition","ind","Other CNS disorders","Total",62451697.5304689,3640032.48799671
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",43125020.6721132,2893928.71236339
"Condition","ind","Other eye disorders","Total",38541966.6662325,1812862.7852408
"Condition","ind","Other GI","Total",26719022.4537574,1508986.39002345
"Condition","ind","Other stomach and intestinal disorders","Total",8002243.5279977,994869.853558516
"Condition","ind","Other urinary","Total",15507107.7541362,1210731.328556
"Condition","ind","Otitis media","Total",32763483.4640676,2020834.03978156
"Condition","ind","Paralysis","Total",3623338.10483721,856737.599080123
"Condition","ind","Perinatal Conditions","Total",363267.005880746,125886.345791979
"Condition","ind","Pneumonia","Total",13712223.5687296,1152565.17243182
"Condition","ind","Poisoning by medical and non-medical substances","Total",5552537.44363455,639643.577876405
"Condition","ind","Residual Codes","Total",61634854.6696987,2917156.56346893
"Condition","ind","Skin disorders","Total",73548448.4031821,3871094.92107279
"Condition","ind","Symptoms","Total",16899277.4292894,1349114.44643022
"Condition","ind","Systemic lupus and connective tissues disorders","Total",69672956.5964623,4077732.17490699
"Condition","ind","Thyroid disease","Total",50592336.1737027,2227587.55194015
"Condition","ind","Tonsillitis","Total",4011879.55974619,542212.256540536
"Condition","ind","Trauma-related disorders","Total",177793749.147056,8219161.98165683
"Condition","ind","Urinary tract infections","Total",22266447.4096029,1397834.97514019
"Condition","event","Acute Bronchitis and URI","ERT",1803373.50087356,181611.966849829
"Condition","event","Allergic reactions","ERT",747948.419481934,133007.007664558
"Condition","event","Anemia and other deficiencies","ERT",97523.7547456807,36321.6247819663
"Condition","event","Appendicitis","ERT",284548.651219544,75956.2723540864
"Condition","event","Back problems","ERT",1255525.47471903,139912.614620146
"Condition","event","Cancer","ERT",765114.693024188,209239.678965653
"Condition","event","Cerebrovascular disease","ERT",867366.409045138,134155.191629416
"Condition","event","CNS infection","ERT",112103.653615465,63006.2589596474
"Condition","event","Coma, brain damage","ERT",25016.7618627051,14525.8530824736
"Condition","event","Complications of pregnancy and birth","ERT",465148.493086794,117961.418988766
"Condition","event","Complications of surgery or device","ERT",257622.116036398,74900.5348733968
"Condition","event","Congenital anomalies","ERT",145169.485208184,71745.1220885104
"Condition","event","COPD, asthma","ERT",3899656.09962099,325380.443905383
"Condition","event","Diabetes mellitus","ERT",562870.942911641,91884.1986436572
"Condition","event","Disorders of mouth and esophagus","ERT",40342.3774271977,18584.7971707022
"Condition","event","Disorders of teeth and jaws","ERT",448611.261665126,139454.394272272
"Condition","event","Disorders of the upper GI","ERT",1471326.18108355,240794.824351844
"Condition","event","Epilepsy and convulsions","ERT",702991.870670062,155812.371238384
"Condition","event","Female genital disorders, and contraception","ERT",646145.059275501,120636.898922181
"Condition","event","Gallbladder, pancreatic, and liver disease","ERT",987809.283339007,150584.775733502
"Condition","event","Headache","ERT",1523608.69051859,384287.720489826
"Condition","event","Heart disease","ERT",3369077.15363711,288311.338807716
"Condition","event","Hemorrhagic, coagulation, and disorders of White Blood cells","ERT",94497.5538087295,34904.7527020721
"Condition","event","Hereditary, degenerative and other nervous system disorders","ERT",42234.5079415599,23179.1717689339
"Condition","event","Hernias","ERT",220136.548159886,72513.8577020261
"Condition","event","Hyperlipidemia","ERT",60482.5407412747,25895.844330514
"Condition","event","Hypertension","ERT",824680.662924707,114744.935864253
"Condition","event","Infectious diseases","ERT",1469626.16557382,171547.633765195
"Condition","event","Influenza","ERT",130162.608596948,40620.6991828515
"Condition","event","Intestinal infection","ERT",1373071.62903812,169578.980335379
"Condition","event","Kidney Disease","ERT",1104387.76642256,161757.897386156
"Condition","event","Male genital disorders","ERT",92080.991771825,30778.8453426611
"Condition","event","Mental disorders","ERT",1384261.81347863,177378.176579037
"Condition","event","Non-malignant breast disease","ERT",173075.151921702,118234.530408042
"Condition","event","Non-malignant neoplasm","ERT",125132.952764846,55369.7142715305
"Condition","event","Normal birth/live born","ERT",979341.652289926,159154.311530845
"Condition","event","Osteoarthritis and other non-traumatic joint disorders","ERT",782905.915384573,118286.73122659
"Condition","event","Other bone and musculoskeletal disease","ERT",55053.0156649072,26727.487617112
"Condition","event","Other care and screening","ERT",102154.935149965,37785.1629643472
"Condition","event","Other circulatory conditions arteries, veins, and lymphatics","ERT",532265.507075444,95843.0339589797
"Condition","event","Other CNS disorders","ERT",1126379.63132417,139179.874963019
"Condition","event","Other endocrine, nutritional & immune disorder","ERT",890164.250653596,131305.424358243
"Condition","event","Other eye disorders","ERT",283957.903485894,63401.3519049725
"Condition","event","Other GI","ERT",855540.807420575,138699.210541873
