"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"Condition","ind","Acute Bronchitis and URI","Total",30205050.878039,1326898.34647141
"Condition","ind","Allergic reactions","Total",6993038.327307,409725.925859602
"Condition","ind","Anemia and other deficiencies","Total",4202161.587038,280710.363345673
"Condition","ind","Appendicitis","Total",288403.394401,64006.2208902197
"Condition","ind","Back problems","Total",24932723.227219,1132618.09538279
"Condition","ind","Cancer","Total",16494669.256688,683898.437686379
"Condition","ind","Cataract","Total",5560914.226787,372510.060816965
"Condition","ind","Cerebrovascular disease","Total",3354678.121047,242334.782828353
"Condition","ind","Complications of pregnancy and birth","Total",1347465.094776,167506.134680809
"Condition","ind","Complications of surgery or device","Total",1748368.759866,239354.604409725
"Condition","ind","Congenital anomalies","Total",2040972.229752,209091.092635325
"Condition","ind","COPD, asthma","Total",48103054.346535,1575812.54811824
"Condition","ind","Diabetes mellitus","Total",26356141.754755,856086.102164519
"Condition","ind","Disorders of mouth and esophagus","Total",1310749.19417,145516.476085513
"Condition","ind","Disorders of teeth and jaws","Total",9903527.594714,485368.721009323
"Condition","ind","Disorders of the upper GI","Total",26589605.645449,1087434.30193221
"Condition","ind","Epilepsy and convulsions","Total",2811921.514593,215167.836050479
"Condition","ind","Female genital disorders, and contraception","Total",15263760.363537,730367.107939808
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",3192003.54141,233385.313435732
"Condition","ind","Glaucoma","Total",3892670.661007,274145.30199673
"Condition","ind","Headache","Total",8587237.943139,487010.346121337
"Condition","ind","Heart disease","Total",24898445.756103,880583.075636389
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",1332529.685021,159056.884415181
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",3110408.185189,258858.783127658
"Condition","ind","Hernias","Total",2159239.322874,180889.516107826
"Condition","ind","Hyperlipidemia","Total",48077773.805568,1538821.13081639
"Condition","ind","Hypertension","Total",63461255.937848,1897139.94039601
"Condition","ind","Infectious diseases","Total",18946128.490261,817897.597078369
"Condition","ind","Influenza","Total",7323892.419821,464509.719484134
"Condition","ind","Intestinal infection","Total",3489109.139445,336957.648213163
"Condition","ind","Kidney Disease","Total",5738661.613218,337437.622110685
"Condition","ind","Male genital disorders","Total",5715496.081141,330710.260171063
"Condition","ind","Mental disorders","Total",49608217.232803,1727762.28638473
"Condition","ind","Non-malignant breast disease","Total",2070458.777948,194819.115474921
"Condition","ind","Non-malignant neoplasm","Total",3601970.315217,241030.879694972
"Condition","ind","Normal birth/live born","Total",5379053.7395,370550.398635031
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",40593130.686345,1305474.80545665
"Condition","ind","Other bone and musculoskeletal disease","Total",6983306.822216,412900.033669537
"Condition","ind","Other care and screening","Total",28764969.253971,1173332.00997056
