"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"ind","insurance","Total","Any private, all ages",204403997.003065,6554617.15357795
"ind","insurance","Total","Public only, all ages",41809571.988538,1559405.15625216
"ind","insurance","Total","Uninsured, all ages",30197197.697519,1319234.49728837
"ind","ins_lt65","Total","<65, Any private",184520077.4461,6120657.59560482
"ind","ins_lt65","Total","<65, Public only",27148489.379221,1313451.11013323
"ind","ins_lt65","Total","<65, Uninsured",30066610.237394,1317388.48209872
"ind","ins_lt65","Total","65+, Medicare only",0,0
"ind","ins_lt65","Total","65+, Medicare and private",0,0
"ind","ins_lt65","Total","65+, Medicare and other public",0,0
"ind","ins_lt65","Total","65+, No medicare",0,0
"ind","ins_ge65","Total","<65, Any private",0,0
"ind","ins_ge65","Total","<65, Public only",0,0
"ind","ins_ge65","Total","<65, Uninsured",0,0
"ind","ins_ge65","Total","65+, Medicare only",10853401.917671,576315.958045568
"ind","ins_ge65","Total","65+, Medicare and private",19559640.228414,833635.319868577
"ind","ins_ge65","Total","65+, Medicare and other public",3807680.691646,297806.058840642
"ind","ins_ge65","Total","65+, No medicare",454866.788676,96487.3893110795
"agegrps","insurance","Under 5","Any private, all ages",13229703.928,676527.682847839
"agegrps","insurance","Under 5","Public only, all ages",4990655.685088,369351.206848702
"agegrps","insurance","Under 5","Uninsured, all ages",1483340.327783,163058.952107086
"agegrps","insurance","5-17","Any private, all ages",38827428.511202,1498384.69709791
"agegrps","insurance","5-17","Public only, all ages",9666219.850941,613122.247415911
"agegrps","insurance","5-17","Uninsured, all ages",4434758.047089,323611.551609564
"agegrps","insurance","18-44","Any private, all ages",82704676.600232,2882371.19814524
"agegrps","insurance","18-44","Public only, all ages",8316174.150394,508481.710973105
"agegrps","insurance","18-44","Uninsured, all ages",17943390.621065,887809.524061509
"agegrps","insurance","45-64","Any private, all ages",49758268.406666,1868092.39710465
"agegrps","insurance","45-64","Public only, all ages",4175439.692798,302481.181815602
"agegrps","insurance","45-64","Uninsured, all ages",6205121.241457,387047.504018104
"agegrps","insurance","65+","Any private, all ages",19883919.556965,836124.518767009
"agegrps","insurance","65+","Public only, all ages",14661082.609317,663272.861537343
"agegrps","insurance","65+","Uninsured, all ages",130587.460125,69258.2599238525
"agegrps","ins_lt65","Under 5","<65, Any private",13229703.928,676527.682847839
"agegrps","ins_lt65","Under 5","<65, Public only",4990655.685088,369351.206848702
"agegrps","ins_lt65","Under 5","<65, Uninsured",1483340.327783,163058.952107086
"agegrps","ins_lt65","Under 5","65+, Medicare only",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and private",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and other public",0,0
"agegrps","ins_lt65","Under 5","65+, No medicare",0,0
"agegrps","ins_lt65","5-17","<65, Any private",38827428.511202,1498384.69709791
"agegrps","ins_lt65","5-17","<65, Public only",9666219.850941,613122.247415911
"agegrps","ins_lt65","5-17","<65, Uninsured",4434758.047089,323611.551609564
"agegrps","ins_lt65","5-17","65+, Medicare only",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and private",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and other public",0,0
"agegrps","ins_lt65","5-17","65+, No medicare",0,0
"agegrps","ins_lt65","18-44","<65, Any private",82704676.600232,2882371.19814524
"agegrps","ins_lt65","18-44","<65, Public only",8316174.150394,508481.710973105
"agegrps","ins_lt65","18-44","<65, Uninsured",17943390.621065,887809.524061509
"agegrps","ins_lt65","18-44","65+, Medicare only",0,0
"agegrps","ins_lt65","18-44","65+, Medicare and private",0,0
"agegrps","ins_lt65","18-44","65+, Medicare and other public",0,0
"agegrps","ins_lt65","18-44","65+, No medicare",0,0
"agegrps","ins_lt65","45-64","<65, Any private",49758268.406666,1868092.39710465
"agegrps","ins_lt65","45-64","<65, Public only",4175439.692798,302481.181815602
"agegrps","ins_lt65","45-64","<65, Uninsured",6205121.241457,387047.504018104
"agegrps","ins_lt65","45-64","65+, Medicare only",0,0
"agegrps","ins_lt65","45-64","65+, Medicare and private",0,0
"agegrps","ins_lt65","45-64","65+, Medicare and other public",0,0
"agegrps","ins_lt65","45-64","65+, No medicare",0,0
"agegrps","ins_ge65","65+","<65, Any private",0,0
"agegrps","ins_ge65","65+","<65, Public only",0,0
"agegrps","ins_ge65","65+","<65, Uninsured",0,0
"agegrps","ins_ge65","65+","65+, Medicare only",10853401.917671,576315.958045568
"agegrps","ins_ge65","65+","65+, Medicare and private",19559640.228414,833635.319868577
"agegrps","ins_ge65","65+","65+, Medicare and other public",3807680.691646,297806.058840642
"agegrps","ins_ge65","65+","65+, No medicare",454866.788676,96487.3893110795
"region","insurance","Northeast","Any private, all ages",39352060.976017,2337440.85510672
"region","insurance","Northeast","Public only, all ages",8327826.706511,680459.801156444
"region","insurance","Northeast","Uninsured, all ages",4186872.656268,388631.74207666
"region","insurance","Midwest","Any private, all ages",51109597.031268,2255601.33167978
"region","insurance","Midwest","Public only, all ages",8238608.427316,757611.848069931
"region","insurance","Midwest","Uninsured, all ages",4882222.393109,443063.038604564
"region","insurance","South","Any private, all ages",69543415.895205,3855766.79403781
"region","insurance","South","Public only, all ages",14449252.886366,917966.740265066
"region","insurance","South","Uninsured, all ages",13183357.501835,967473.334945309
"region","insurance","West","Any private, all ages",44398923.100575,4164820.1083402
"region","insurance","West","Public only, all ages",10793883.968345,750470.900832893
"region","insurance","West","Uninsured, all ages",7944745.146307,685925.840776947
"region","ins_lt65","Northeast","<65, Any private",35158814.154806,2242358.30217832
"region","ins_lt65","Northeast","<65, Public only",5364089.120541,532848.513355443
"region","ins_lt65","Northeast","<65, Uninsured",4155617.46126,381210.564486694
"region","ins_lt65","Northeast","65+, Medicare only",0,0
"region","ins_lt65","Northeast","65+, Medicare and private",0,0
"region","ins_lt65","Northeast","65+, Medicare and other public",0,0
"region","ins_lt65","Northeast","65+, No medicare",0,0
"region","ins_lt65","Midwest","<65, Any private",46010602.61949,2060961.41381511
"region","ins_lt65","Midwest","<65, Public only",5490353.604356,719019.704851099
"region","ins_lt65","Midwest","<65, Uninsured",4870153.600856,443180.43561609
"region","ins_lt65","Midwest","65+, Medicare only",0,0
"region","ins_lt65","Midwest","65+, Medicare and private",0,0
"region","ins_lt65","Midwest","65+, Medicare and other public",0,0
"region","ins_lt65","Midwest","65+, No medicare",0,0
"region","ins_lt65","South","<65, Any private",62295274.329528,3694823.67652766
"region","ins_lt65","South","<65, Public only",8902518.772566,743916.515314154
"region","ins_lt65","South","<65, Uninsured",13118034.986263,968158.925462486
"region","ins_lt65","South","65+, Medicare only",0,0
"region","ins_lt65","South","65+, Medicare and private",0,0
"region","ins_lt65","South","65+, Medicare and other public",0,0
"region","ins_lt65","South","65+, No medicare",0,0
"region","ins_lt65","West","<65, Any private",41055386.342276,3794118.05381779
"region","ins_lt65","West","<65, Public only",7391527.881758,622925.815905315
"region","ins_lt65","West","<65, Uninsured",7922804.189015,685376.631403875
"region","ins_lt65","West","65+, Medicare only",0,0
"region","ins_lt65","West","65+, Medicare and private",0,0
"region","ins_lt65","West","65+, Medicare and other public",0,0
"region","ins_lt65","West","65+, No medicare",0,0
"region","ins_ge65","Northeast","<65, Any private",0,0
"region","ins_ge65","Northeast","<65, Public only",0,0
"region","ins_ge65","Northeast","<65, Uninsured",0,0
"region","ins_ge65","Northeast","65+, Medicare only",2296304.906652,250924.191458747
"region","ins_ge65","Northeast","65+, Medicare and private",4115633.416693,283632.939173188
"region","ins_ge65","Northeast","65+, Medicare and other public",667432.679318,115261.236788008
"region","ins_ge65","Northeast","65+, No medicare",108868.599526,46677.5663455485
"region","ins_ge65","Midwest","<65, Any private",0,0
"region","ins_ge65","Midwest","<65, Public only",0,0
"region","ins_ge65","Midwest","<65, Uninsured",0,0
"region","ins_ge65","Midwest","65+, Medicare only",2112837.675626,256718.450028425
"region","ins_ge65","Midwest","65+, Medicare and private",5008703.30774,431524.043973315
"region","ins_ge65","Midwest","65+, Medicare and other public",635417.147334,108685.826560904
"region","ins_ge65","Midwest","65+, No medicare",102359.896291,41426.6706758513
"region","ins_ge65","South","<65, Any private",0,0
"region","ins_ge65","South","<65, Public only",0,0
"region","ins_ge65","South","<65, Uninsured",0,0
"region","ins_ge65","South","65+, Medicare only",3969789.141019,339461.855497722
"region","ins_ge65","South","65+, Medicare and private",7181232.451862,486404.02883826
"region","ins_ge65","South","65+, Medicare and other public",1576944.972781,194157.659954183
"region","ins_ge65","South","65+, No medicare",132231.629387,63277.59883288
"region","ins_ge65","West","<65, Any private",0,0
"region","ins_ge65","West","<65, Public only",0,0
"region","ins_ge65","West","<65, Uninsured",0,0
"region","ins_ge65","West","65+, Medicare only",2474470.194374,293552.555950907
