"rowGrp","colGrp","rowLevels","colLevels","pctPOP","pctPOP_se"
"ind","insurance","Total","Any private, all ages",0.693029619318192,0.00595694825390378
"ind","insurance","Total","Public only, all ages",0.183301519436755,0.00452342810379605
"ind","insurance","Total","Uninsured, all ages",0.123668861245053,0.00329745392160693
"ind","ins_lt65","Total","<65, Any private",0.707488652161094,0.00642346021599474
"ind","ins_lt65","Total","<65, Public only",0.151636508765274,0.00464709443895663
"ind","ins_lt65","Total","<65, Uninsured",0.140874839073632,0.0036851852941777
"ind","ins_lt65","Total","65+, Medicare only",0,0
"ind","ins_lt65","Total","65+, Medicare and private",0,0
"ind","ins_lt65","Total","65+, Medicare and other public",0,0
"ind","ins_lt65","Total","65+, No medicare",0,0
"ind","ins_ge65","Total","<65, Any private",0,0
"ind","ins_ge65","Total","<65, Public only",0,0
"ind","ins_ge65","Total","<65, Uninsured",0,0
"ind","ins_ge65","Total","65+, Medicare only",0.276715612605771,0.0109029704955205
"ind","ins_ge65","Total","65+, Medicare and private",0.586731213067695,0.0127218677413462
"ind","ins_ge65","Total","65+, Medicare and other public",0.125170412305528,0.00770488890715207
"ind","ins_ge65","Total","65+, No medicare",0.0113827620210056,0.00218506821702011
"agegrps","insurance","Under 5","Any private, all ages",0.574798573366198,0.0154862400079029
"agegrps","insurance","Under 5","Public only, all ages",0.359722013166102,0.0154192158779717
"agegrps","insurance","Under 5","Uninsured, all ages",0.0654794134676993,0.00676199389380446
"agegrps","insurance","5-17","Any private, all ages",0.653875843365212,0.0103328404420085
"agegrps","insurance","5-17","Public only, all ages",0.282367459784182,0.0092402388685203
"agegrps","insurance","5-17","Uninsured, all ages",0.0637566968506057,0.00479015615405109
"agegrps","insurance","18-44","Any private, all ages",0.703913224613794,0.00737956377940106
"agegrps","insurance","18-44","Public only, all ages",0.0947729121096342,0.00402359705214778
"agegrps","insurance","18-44","Uninsured, all ages",0.201313863276572,0.00583833498084596
"agegrps","insurance","45-64","Any private, all ages",0.787218238176983,0.00658025243521572
"agegrps","insurance","45-64","Public only, all ages",0.0864027993982354,0.00436067984882585
"agegrps","insurance","45-64","Uninsured, all ages",0.126378962424782,0.00498608048017282
"agegrps","insurance","65+","Any private, all ages",0.593218487833164,0.0126593253223817
"agegrps","insurance","65+","Public only, all ages",0.401886024911299,0.0124966048070232
"agegrps","insurance","65+","Uninsured, all ages",0.00489548725553728,0.00124290979523413
"agegrps","ins_lt65","Under 5","<65, Any private",0.574798573366198,0.0154862400079029
"agegrps","ins_lt65","Under 5","<65, Public only",0.359722013166102,0.0154192158779717
"agegrps","ins_lt65","Under 5","<65, Uninsured",0.0654794134676993,0.00676199389380446
"agegrps","ins_lt65","Under 5","65+, Medicare only",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and private",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and other public",0,0
"agegrps","ins_lt65","Under 5","65+, No medicare",0,0
"agegrps","ins_lt65","5-17","<65, Any private",0.653875843365212,0.0103328404420085
"agegrps","ins_lt65","5-17","<65, Public only",0.282367459784182,0.0092402388685203
"agegrps","ins_lt65","5-17","<65, Uninsured",0.0637566968506057,0.00479015615405109
"agegrps","ins_lt65","5-17","65+, Medicare only",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and private",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and other public",0,0
"agegrps","ins_lt65","5-17","65+, No medicare",0,0
"agegrps","ins_lt65","18-44","<65, Any private",0.703913224613794,0.00737956377940106
"agegrps","ins_lt65","18-44","<65, Public only",0.0947729121096342,0.00402359705214778
"agegrps","ins_lt65","18-44","<65, Uninsured",0.201313863276572,0.00583833498084596
"agegrps","ins_lt65","18-44","65+, Medicare only",0,0
"agegrps","ins_lt65","18-44","65+, Medicare and private",0,0
"agegrps","ins_lt65","18-44","65+, Medicare and other public",0,0
"agegrps","ins_lt65","18-44","65+, No medicare",0,0
"agegrps","ins_lt65","45-64","<65, Any private",0.787218238176983,0.00658025243521572
"agegrps","ins_lt65","45-64","<65, Public only",0.0864027993982354,0.00436067984882585
