"rowGrp","colGrp","rowLevels","n","n_se"
"ind","insurance","Total",33893,0
"ind","ins_lt65","Total",29521,0
"ind","ins_ge65","Total",4372,0
"agegrps","insurance","Under 5",2244,0
"agegrps","insurance","5-17",6958,0
"agegrps","insurance","18-44",12044,0
"agegrps","insurance","45-64",8275,0
"agegrps","insurance","65+",4372,0
"agegrps","ins_lt65","Under 5",2244,0
"agegrps","ins_lt65","5-17",6958,0
"agegrps","ins_lt65","18-44",12044,0
"agegrps","ins_lt65","45-64",8275,0
"agegrps","ins_ge65","65+",4372,0
"region","insurance","Northeast",5101,0
"region","insurance","Midwest",6239,0
"region","insurance","South",12994,0
"region","insurance","West",9559,0
"region","ins_lt65","Northeast",4385,0
"region","ins_lt65","Midwest",5376,0
"region","ins_lt65","South",11272,0
"region","ins_lt65","West",8488,0
"region","ins_ge65","Northeast",716,0
"region","ins_ge65","Midwest",863,0
"region","ins_ge65","South",1722,0
"region","ins_ge65","West",1071,0
"married","insurance","Married",11697,0
"married","insurance","Widowed",1525,0
"married","insurance","Divorced",2801,0
"married","insurance","Separated",740,0
"married","insurance","Never married",8990,0
"married","insurance","Inapplicable (age < 16)",8140,0
"married","ins_lt65","Married",9501,0
"married","ins_lt65","Widowed",340,0
"married","ins_lt65","Divorced",2167,0
"married","ins_lt65","Separated",646,0
"married","ins_lt65","Never married",8727,0
"married","ins_lt65","Inapplicable (age < 16)",8140,0
"married","ins_ge65","Married",2196,0
"married","ins_ge65","Widowed",1185,0
"married","ins_ge65","Divorced",634,0
"married","ins_ge65","Separated",94,0
"married","ins_ge65","Never married",263,0
"race","insurance","Hispanic",11068,0
"race","insurance","White",12565,0
"race","insurance","Black",6551,0
"race","insurance","Amer. Indian, AK Native, or mult. races",1188,0
"race","insurance","Asian, Hawaiian, or Pacific Islander",2521,0
"race","ins_lt65","Hispanic",10367,0
"race","ins_lt65","White",10102,0
"race","ins_lt65","Black",5791,0
"race","ins_lt65","Amer. Indian, AK Native, or mult. races",1096,0
"race","ins_lt65","Asian, Hawaiian, or Pacific Islander",2165,0
"race","ins_ge65","Hispanic",701,0
"race","ins_ge65","White",2463,0
"race","ins_ge65","Black",760,0
"race","ins_ge65","Amer. Indian, AK Native, or mult. races",92,0
"race","ins_ge65","Asian, Hawaiian, or Pacific Islander",356,0
"sex","insurance","Male",16268,0
"sex","insurance","Female",17625,0
"sex","ins_lt65","Male",14370,0
