"rowGrp","colGrp","rowLevels","colLevels","n","n_se"
"TC1name","ind","Anti-Infectives","Total",8539,0
"TC1name","ind","Antihyperlipidemic Agents","Total",1104,0
"TC1name","ind","Antineoplastics","Total",619,0
"TC1name","ind","Biologicals","Total",16,0
"TC1name","ind","Cardiovascular Agents","Total",4747,0
"TC1name","ind","Central Nervous System Agents","Total",7649,0
"TC1name","ind","Coagulation Modifiers","Total",545,0
"TC1name","ind","Gastrointestinal Agents","Total",2230,0
"TC1name","ind","Hormones/Hormone Modifiers","Total",5365,0
"TC1name","ind","Immunologic Agents","Total",84,0
"TC1name","ind","Miscellaneous Agents","Total",645,0
"TC1name","ind","Not Ascertained","Total",1267,0
"TC1name","ind","Nutritional Products","Total",2115,0
"TC1name","ind","Psychotherapeutic Agents","Total",2528,0
"TC1name","ind","Respiratory Agents","Total",5560,0
"TC1name","ind","Topical Agents","Total",6288,0
"RXDRGNAM","ind","ACARBOSE","Total",29,0
"RXDRGNAM","ind","ACEBUTOLOL","Total",18,0
"RXDRGNAM","ind","ACETAMINOPHEN","Total",657,0
"RXDRGNAM","ind","ACETAMINOPHEN-BUTALBITAL","Total",88,0
"RXDRGNAM","ind","ACETAMINOPHEN-CODEINE","Total",968,0
"RXDRGNAM","ind","ACETAMINOPHEN-DIPHENHYDRAMINE","Total",7,0
"RXDRGNAM","ind","ACETAMINOPHEN-HYDROCODONE","Total",921,0
"RXDRGNAM","ind","ACETAMINOPHEN-OXYCODONE","Total",348,0
"RXDRGNAM","ind","ACETAMINOPHEN-PENTAZOCINE","Total",10,0
"RXDRGNAM","ind","ACETAMINOPHEN-PHENYLTOLOXAMINE","Total",3,0
"RXDRGNAM","ind","ACETAMINOPHEN-PROPOXYPHENE","Total",617,0
"RXDRGNAM","ind","ACETAMINOPHEN-SALICYLAMIDE","Total",7,0
"RXDRGNAM","ind","ACETAZOLAMIDE","Total",48,0
"RXDRGNAM","ind","ACETIC ACID-ALUMINUM ACETATE OTIC","Total",1,0
"RXDRGNAM","ind","ACETIC ACID-HYDROCORTISONE OTIC","Total",18,0
"RXDRGNAM","ind","ACETIC ACID OTIC","Total",10,0
"RXDRGNAM","ind","ACRIVASTINE-PSEUDOEPHEDRINE","Total",13,0
"RXDRGNAM","ind","ACYCLOVIR","Total",111,0
"RXDRGNAM","ind","ACYCLOVIR TOPICAL","Total",26,0
"RXDRGNAM","ind","ADAPALENE TOPICAL","Total",19,0
"RXDRGNAM","ind","AL HYDROXIDE/ASA/CA CARBONATE/MG HYDROXIDE","Total",13,0
"RXDRGNAM","ind","AL HYDROXIDE/MG HYDROXIDE/SIMETHICONE","Total",14,0
"RXDRGNAM","ind","ALBUTEROL","Total",1271,0
"RXDRGNAM","ind","ALBUTEROL-IPRATROPIUM","Total",13,0
"RXDRGNAM","ind","ALCLOMETASONE TOPICAL","Total",13,0
"RXDRGNAM","ind","ALENDRONATE","Total",109,0
"RXDRGNAM","ind","ALLOPURINOL","Total",155,0
"RXDRGNAM","ind","ALPRAZOLAM","Total",310,0
"RXDRGNAM","ind","ALPROSTADIL","Total",10,0
"RXDRGNAM","ind","ALUMINUM CHLORIDE HEXAHYDRATE TOPICAL","Total",9,0
"RXDRGNAM","ind","ALUMINUM HYDROXIDE-MAGNESIUM HYDROXIDE","Total",26,0
"RXDRGNAM","ind","ALUMINUM SULFATE-CALCIUM ACETATE TOPICAL","Total",6,0
"RXDRGNAM","ind","AMANTADINE","Total",28,0
"RXDRGNAM","ind","AMCINONIDE TOPICAL","Total",8,0
"RXDRGNAM","ind","AMILORIDE","Total",10,0
"RXDRGNAM","ind","AMILORIDE-HYDROCHLOROTHIAZIDE","Total",10,0
"RXDRGNAM","ind","AMINO ACIDS-UREA TOPICAL","Total",24,0
"RXDRGNAM","ind","AMINOPHYLLINE","Total",4,0
"RXDRGNAM","ind","AMIODARONE","Total",28,0
"RXDRGNAM","ind","AMITRIPTYLINE","Total",366,0
"RXDRGNAM","ind","AMITRIPTYLINE-CHLORDIAZEPOXIDE","Total",2,0
"RXDRGNAM","ind","AMITRIPTYLINE-PERPHENAZINE","Total",13,0
"RXDRGNAM","ind","AMLODIPINE","Total",377,0
"RXDRGNAM","ind","AMLODIPINE-BENAZEPRIL","Total",35,0
"RXDRGNAM","ind","AMMONIUM LACTATE TOPICAL","Total",49,0
"RXDRGNAM","ind","AMOXICILLIN","Total",3145,0
"RXDRGNAM","ind","AMOXICILLIN-CLAVULANATE","Total",522,0
"RXDRGNAM","ind","AMPHETAMINE-DEXTROAMPHETAMINE","Total",43,0
"RXDRGNAM","ind","AMPICILLIN","Total",175,0
"RXDRGNAM","ind","AMYLASE/CELLULASE/LIPASE/PROTEASE","Total",6,0
"RXDRGNAM","ind","ANTAZOLINE-NAPHAZOLINE OPHTHALMIC","Total",96,0
"RXDRGNAM","ind","ANTHRALIN TOPICAL","Total",5,0
"RXDRGNAM","ind","ANTIHEMOPHILIC FACTOR","Total",3,0
"RXDRGNAM","ind","ANTIPYRINE-BENZOCAINE OTIC","Total",52,0
"RXDRGNAM","ind","APAP/BUTALBITAL/CAFFEINE","Total",147,0
"RXDRGNAM","ind","APAP/BUTALBITAL/CAFFEINE/CODEINE","Total",3,0
"RXDRGNAM","ind","APAP/CAFFEINE/DIHYDROCODEINE","Total",1,0
"RXDRGNAM","ind","APAP/CHLORPHENIRAMINE/PHENYLEPHRINE","Total",4,0
"RXDRGNAM","ind","APAP/CHLORPHENIRAMINE/PSEUDOEPHEDRINE","Total",22,0
"RXDRGNAM","ind","APAP/DICHLORALPHENAZONE/ISOMETHEPTENE","Total",116,0
"RXDRGNAM","ind","APRACLONIDINE OPHTHALMIC","Total",7,0
"RXDRGNAM","ind","ASA/BUTALBITAL/CAFFEINE","Total",77,0
"RXDRGNAM","ind","ASA/BUTALBITAL/CAFFEINE/CODEINE","Total",10,0
"RXDRGNAM","ind","ASA/CAFFEINE/ORPHENADRINE","Total",58,0
"RXDRGNAM","ind","ASA/CAFFEINE/PROPOXYPHENE","Total",47,0
"RXDRGNAM","ind","ASA/CARISOPRODOL/CODEINE","Total",18,0
"RXDRGNAM","ind","ASCORBIC ACID","Total",23,0
"RXDRGNAM","ind","ASPIRIN","Total",256,0
"RXDRGNAM","ind","ASPIRIN-CARISOPRODOL","Total",35,0
"RXDRGNAM","ind","ASPIRIN-CODEINE","Total",4,0
"RXDRGNAM","ind","ASPIRIN-HYDROCODONE","Total",1,0
"RXDRGNAM","ind","ASPIRIN-MEPROBAMATE","Total",3,0
"RXDRGNAM","ind","ASPIRIN-OXYCODONE","Total",25,0
"RXDRGNAM","ind","ASTEMIZOLE","Total",40,0
"RXDRGNAM","ind","ATENOLOL","Total",478,0
"RXDRGNAM","ind","ATENOLOL-CHLORTHALIDONE","Total",36,0
"RXDRGNAM","ind","ATORVASTATIN","Total",193,0
"RXDRGNAM","ind","ATROPINE-DIFENOXIN","Total",1,0
"RXDRGNAM","ind","ATROPINE-DIPHENOXYLATE","Total",92,0
"RXDRGNAM","ind","ATROPINE OPHTHALMIC","Total",7,0
"RXDRGNAM","ind","ATROPINE/CPM/HYOSCYAMINE/PE/PPA/SCOPOLAMINE","Total",26,0
"RXDRGNAM","ind","ATROPINE/HYOSCYAMINE/PB/SCOPOLAMINE","Total",70,0
"RXDRGNAM","ind","ATTAPULGITE","Total",21,0
"RXDRGNAM","ind","AURANOFIN","Total",5,0
"RXDRGNAM","ind","AUROTHIOGLUCOSE","Total",1,0
"RXDRGNAM","ind","AZATADINE","Total",1,0
"RXDRGNAM","ind","AZATADINE-PSEUDOEPHEDRINE","Total",20,0
"RXDRGNAM","ind","AZATHIOPRINE","Total",35,0
"RXDRGNAM","ind","AZELAIC ACID TOPICAL","Total",11,0
"RXDRGNAM","ind","AZELASTINE NASAL","Total",22,0
"RXDRGNAM","ind","AZITHROMYCIN","Total",579,0
"RXDRGNAM","ind","BACITRACIN-POLYMYXIN B OPHTHALMIC","Total",3,0
"RXDRGNAM","ind","BACITRACIN-POLYMYXIN B TOPICAL","Total",230,0
"RXDRGNAM","ind","BACITRACIN OPHTHALMIC","Total",7,0
"RXDRGNAM","ind","BACITRACIN TOPICAL","Total",189,0
"RXDRGNAM","ind","BACITRACIN/HC/NEOMYCIN/POLYMYXIN B OPHTHALMIC","Total",5,0
"RXDRGNAM","ind","BACITRACIN/HC/NEOMYCIN/POLYMYXIN B TOPICAL","Total",129,0
"RXDRGNAM","ind","BACITRACIN/NEOMYCIN/POLYMYXIN B OPHTHALMIC","Total",5,0
"RXDRGNAM","ind","BACITRACIN/NEOMYCIN/POLYMYXIN B TOPICAL","Total",42,0
"RXDRGNAM","ind","BACLOFEN","Total",25,0
"RXDRGNAM","ind","BALSAM PERU/CASTOR OIL/TRYPSIN TOPICAL","Total",2,0
"RXDRGNAM","ind","BECLOMETHASONE","Total",169,0
"RXDRGNAM","ind","BECLOMETHASONE NASAL","Total",414,0
"RXDRGNAM","ind","BELLADONNA/ERGOTAMINE/PHENOBARBITAL","Total",9,0
"RXDRGNAM","ind","BENAZEPRIL","Total",194,0
"RXDRGNAM","ind","BENAZEPRIL-HYDROCHLOROTHIAZIDE","Total",11,0
"RXDRGNAM","ind","BENDROFLUMETHIAZIDE-NADOLOL","Total",2,0
"RXDRGNAM","ind","BENZOCAINE-TRIMETHOBENZAMIDE","Total",26,0
"RXDRGNAM","ind","BENZOCAINE OTIC","Total",6,0
"RXDRGNAM","ind","BENZOCAINE TOPICAL","Total",16,0
"RXDRGNAM","ind","BENZONATATE","Total",96,0
"RXDRGNAM","ind","BENZOYL PEROXIDE-ERYTHROMYCIN TOPICAL","Total",34,0
"RXDRGNAM","ind","BENZOYL PEROXIDE-SULFUR TOPICAL","Total",4,0
"RXDRGNAM","ind","BENZOYL PEROXIDE TOPICAL","Total",71,0
"RXDRGNAM","ind","BENZPHETAMINE","Total",1,0
"RXDRGNAM","ind","BENZTROPINE","Total",68,0
"RXDRGNAM","ind","BETAMETHASONE","Total",31,0
"RXDRGNAM","ind","BETAMETHASONE-CLOTRIMAZOLE TOPICAL","Total",119,0
"RXDRGNAM","ind","BETAMETHASONE TOPICAL","Total",84,0
"RXDRGNAM","ind","BETAXOLOL","Total",5,0
"RXDRGNAM","ind","BETAXOLOL OPHTHALMIC","Total",57,0
"RXDRGNAM","ind","BETHANECHOL","Total",11,0
"RXDRGNAM","ind","BICALUTAMIDE","Total",3,0
"RXDRGNAM","ind","BIPERIDEN","Total",2,0
"RXDRGNAM","ind","BISACODYL","Total",18,0
"RXDRGNAM","ind","BISMUTH SUBSALICYLATE","Total",9,0
"RXDRGNAM","ind","BISMUTH SUBSALICYLATE/METRONIDAZOLE/TCN","Total",10,0
"RXDRGNAM","ind","BISOPROLOL-HYDROCHLOROTHIAZIDE","Total",71,0
"RXDRGNAM","ind","BORIC ACID TOPICAL","Total",8,0
"RXDRGNAM","ind","BRIMONIDINE OPHTHALMIC","Total",41,0
"RXDRGNAM","ind","BROMFENAC","Total",46,0
"RXDRGNAM","ind","BROMOCRIPTINE","Total",9,0
"RXDRGNAM","ind","BROMODIPHENHYDRAMINE-CODEINE","Total",12,0
"RXDRGNAM","ind","BROMPHENIRAMINE","Total",52,0
"RXDRGNAM","ind","BROMPHENIRAMINE-PHENYLPROPANOLAMINE","Total",61,0
"RXDRGNAM","ind","BROMPHENIRAMINE-PSEUDOEPHEDRINE","Total",54,0
"RXDRGNAM","ind","BROMPHENIRAMINE/CODEINE/PHENYLPROPANOLAMINE","Total",29,0
"RXDRGNAM","ind","BROMPHENIRAMINE/DEXTROMETHORPHAN/PPA","Total",102,0
"RXDRGNAM","ind","BROMPHENIRAMINE/DEXTROMETHORPHAN/PSE","Total",34,0
"RXDRGNAM","ind","BROMPHENIRAMINE/PHENYLEPHRINE/PPA","Total",5,0
"RXDRGNAM","ind","BUDESONIDE NASAL","Total",64,0
"RXDRGNAM","ind","BUMETANIDE","Total",48,0
"RXDRGNAM","ind","BUPROPION","Total",93,0
"RXDRGNAM","ind","BUSPIRONE","Total",105,0
"RXDRGNAM","ind","BUTABARBITAL","Total",3,0
"RXDRGNAM","ind","BUTENAFINE TOPICAL","Total",1,0
"RXDRGNAM","ind","BUTOCONAZOLE TOPICAL","Total",3,0
"RXDRGNAM","ind","BUTORPHANOL","Total",7,0
"RXDRGNAM","ind","CAFFEINE-ERGOTAMINE","Total",15,0
"RXDRGNAM","ind","CALAMINE TOPICAL","Total",17,0
"RXDRGNAM","ind","CALCIPOTRIENE TOPICAL","Total",18,0
"RXDRGNAM","ind","CALCITONIN","Total",51,0
"RXDRGNAM","ind","CALCITRIOL","Total",17,0
"RXDRGNAM","ind","CALCIUM ACETATE","Total",16,0
"RXDRGNAM","ind","CALCIUM AND VITAMIN D COMBINATION","Total",17,0
"RXDRGNAM","ind","CALCIUM CARBONATE","Total",74,0
"RXDRGNAM","ind","CALCIUM CITRATE","Total",4,0
"RXDRGNAM","ind","CALCIUM GLUBIONATE","Total",1,0
"RXDRGNAM","ind","CAPSAICIN TOPICAL","Total",46,0
"RXDRGNAM","ind","CAPTOPRIL","Total",144,0
"RXDRGNAM","ind","CAPTOPRIL-HYDROCHLOROTHIAZIDE","Total",16,0
"RXDRGNAM","ind","CARBAMAZEPINE","Total",131,0
"RXDRGNAM","ind","CARBAMIDE PEROXIDE OTIC","Total",66,0
"RXDRGNAM","ind","CARBETAPENTANE/CPM/EPHEDRINE/PHENYLEPHRINE","Total",16,0
"RXDRGNAM","ind","CARBIDOPA-LEVODOPA","Total",44,0
"RXDRGNAM","ind","CARBINOXAMINE-PSEUDOEPHEDRINE","Total",72,0
"RXDRGNAM","ind","CARBINOXAMINE/DEXTROMETHORPHAN/PSE","Total",125,0
"RXDRGNAM","ind","CARBINOXAMINE/HYDROCODONE/PSEUDOEPHEDRINE","Total",1,0
"RXDRGNAM","ind","CARISOPRODOL","Total",174,0
"RXDRGNAM","ind","CARTEOLOL OPHTHALMIC","Total",22,0
"RXDRGNAM","ind","CARVEDILOL","Total",4,0
"RXDRGNAM","ind","CASANTHRANOL-DOCUSATE","Total",29,0
"RXDRGNAM","ind","CEFACLOR","Total",244,0
"RXDRGNAM","ind","CEFADROXIL","Total",97,0
"RXDRGNAM","ind","CEFAZOLIN","Total",5,0
"RXDRGNAM","ind","CEFIXIME","Total",104,0
"RXDRGNAM","ind","CEFPODOXIME","Total",74,0
"RXDRGNAM","ind","CEFPROZIL","Total",218,0
"RXDRGNAM","ind","CEFTIBUTEN","Total",64,0
"RXDRGNAM","ind","CEFTRIAXONE","Total",15,0
"RXDRGNAM","ind","CEFUROXIME","Total",214,0
"RXDRGNAM","ind","CELLULASE/HYOSCYAMIN/PANCRELIPASE/PHENYLTOLOX","Total",5,0
"RXDRGNAM","ind","CELLULOSE","Total",1,0
"RXDRGNAM","ind","CEPHALEXIN","Total",834,0
"RXDRGNAM","ind","CEPHRADINE","Total",10,0
"RXDRGNAM","ind","CETIRIZINE","Total",210,0
"RXDRGNAM","ind","CHLORAL HYDRATE","Total",1,0
"RXDRGNAM","ind","CHLORAMBUCIL","Total",5,0
"RXDRGNAM","ind","CHLORAMPHENICOL OPHTHALMIC","Total",2,0
"RXDRGNAM","ind","CHLORDIAZEPOXIDE","Total",41,0
"RXDRGNAM","ind","CHLORDIAZEPOXIDE-CLIDINIUM","Total",41,0
"RXDRGNAM","ind","CHLORHEXIDINE TOPICAL","Total",76,0
"RXDRGNAM","ind","CHLOROQUINE","Total",6,0
"RXDRGNAM","ind","CHLOROTHIAZIDE","Total",4,0
"RXDRGNAM","ind","CHLOROXINE TOPICAL","Total",2,0
"RXDRGNAM","ind","CHLOROXYLENOL/HYDROCORTISONE/PRAMOXINE OTIC","Total",16,0
"RXDRGNAM","ind","CHLORPHENIRAMINE","Total",30,0
"RXDRGNAM","ind","CHLORPHENIRAMINE-EPINEPHRINE","Total",5,0
"RXDRGNAM","ind","CHLORPHENIRAMINE-HYDROCODONE","Total",45,0
"RXDRGNAM","ind","CHLORPHENIRAMINE-PHENYLEPHRINE","Total",11,0
"RXDRGNAM","ind","CHLORPHENIRAMINE-PHENYLPROPANOLAMINE","Total",32,0
"RXDRGNAM","ind","CHLORPHENIRAMINE-PSEUDOEPHEDRINE","Total",132,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/CODEINE/PE/K IODIDE","Total",2,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/CODEINE/PSEUDOEPHEDRINE","Total",10,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/DEXTROMETHORPHAN/PPA","Total",4,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/DEXTROMETHORPHAN/PSE","Total",36,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/DM/PHENYLEPHRINE","Total",10,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/GUAIFENESIN/PHENYLEPHRINE","Total",6,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/HYDROCODONE/PHENYLEPHRINE","Total",88,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/HYDROCODONE/PSE","Total",41,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/METHSCOPOLAMINE/PE","Total",67,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/METHSCOPOLAMINE/PPA","Total",4,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/METHSCOPOLAMINE/PSE","Total",1,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/PE/PHENYLTOLOXAMINE","Total",5,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/PE/PPA/PHENYLTOLOXAMINE","Total",52,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/PHENINDAMINE/PPA","Total",6,0
"RXDRGNAM","ind","CHLORPHENIRAMINE/PHENYLEPHRINE/PYRILAMINE","Total",160,0
"RXDRGNAM","ind","CHLORPROMAZINE","Total",35,0
"RXDRGNAM","ind","CHLORPROPAMIDE","Total",25,0
"RXDRGNAM","ind","CHLORTHALIDONE","Total",29,0
"RXDRGNAM","ind","CHLORTHALIDONE-CLONIDINE","Total",3,0
"RXDRGNAM","ind","CHLORZOXAZONE","Total",45,0
"RXDRGNAM","ind","CHOLESTYRAMINE","Total",34,0
"RXDRGNAM","ind","CHOLINE SALICYLATE-MAGNESIUM SALICYLATE","Total",18,0
"RXDRGNAM","ind","CHORIONIC GONADOTROPIN (HCG)","Total",4,0
"RXDRGNAM","ind","CICLOPIROX TOPICAL","Total",16,0
"RXDRGNAM","ind","CIMETIDINE","Total",257,0
"RXDRGNAM","ind","CINOXACIN","Total",2,0
"RXDRGNAM","ind","CIPROFLOXACIN","Total",380,0
"RXDRGNAM","ind","CIPROFLOXACIN OPHTHALMIC","Total",30,0
"RXDRGNAM","ind","CISAPRIDE","Total",175,0
"RXDRGNAM","ind","CITRIC ACID-POTASSIUM CITRATE","Total",2,0
"RXDRGNAM","ind","CITRIC ACID-SODIUM CITRATE","Total",2,0
"RXDRGNAM","ind","CITRIC ACID/GLUCONODELTA-LACTONE/MG CARBONATE","Total",1,0
"RXDRGNAM","ind","CITRIC ACID/K CITRATE/NA CITRATE","Total",3,0
"RXDRGNAM","ind","CLARITHROMYCIN","Total",585,0
"RXDRGNAM","ind","CLEMASTINE","Total",23,0
"RXDRGNAM","ind","CLEMASTINE-PHENYLPROPANOLAMINE","Total",7,0
"RXDRGNAM","ind","CLINDAMYCIN","Total",112,0
"RXDRGNAM","ind","CLINDAMYCIN TOPICAL","Total",78,0
"RXDRGNAM","ind","CLIOQUINOL-HYDROCORTISONE TOPICAL","Total",2,0
"RXDRGNAM","ind","CLIOQUINOL TOPICAL","Total",2,0
"RXDRGNAM","ind","CLOBETASOL TOPICAL","Total",61,0
"RXDRGNAM","ind","CLOMIPHENE","Total",23,0
"RXDRGNAM","ind","CLOMIPRAMINE","Total",20,0
"RXDRGNAM","ind","CLONAZEPAM","Total",124,0
"RXDRGNAM","ind","CLONIDINE","Total",140,0
"RXDRGNAM","ind","CLORAZEPATE","Total",65,0
"RXDRGNAM","ind","CLOTRIMAZOLE","Total",29,0
"RXDRGNAM","ind","CLOTRIMAZOLE TOPICAL","Total",70,0
"RXDRGNAM","ind","CLOXACILLIN","Total",4,0
"RXDRGNAM","ind","CLOZAPINE","Total",1,0
"RXDRGNAM","ind","COAL TAR TOPICAL","Total",5,0
"RXDRGNAM","ind","CODEINE","Total",18,0
"RXDRGNAM","ind","CODEINE-GUAIFENESIN","Total",249,0
"RXDRGNAM","ind","CODEINE-PROMETHAZINE","Total",118,0
"RXDRGNAM","ind","CODEINE/GUAIFENESIN/PHENYLPROPANOLAMINE","Total",6,0
"RXDRGNAM","ind","CODEINE/GUAIFENESIN/PSE","Total",53,0
"RXDRGNAM","ind","CODEINE/PHENYLEPHRINE/PROMETHAZINE","Total",20,0
"RXDRGNAM","ind","CODEINE/PSEUDOEPHEDRINE/TRIPROLIDINE","Total",23,0
"RXDRGNAM","ind","COLCHICINE","Total",40,0
"RXDRGNAM","ind","COLCHICINE-PROBENECID","Total",5,0
"RXDRGNAM","ind","COLESTIPOL","Total",20,0
"RXDRGNAM","ind","COLISTIN/HC/NEOMYCIN/THONZONIUM OTIC","Total",4,0
"RXDRGNAM","ind","CONJUGATED ESTROGENS","Total",1020,0
"RXDRGNAM","ind","CONJUGATED ESTROGENS-MEDROXYPROGESTERONE","Total",252,0
"RXDRGNAM","ind","CONJUGATED ESTROGENS TOPICAL","Total",30,0
"RXDRGNAM","ind","CORTISONE","Total",27,0
"RXDRGNAM","ind","CROMOLYN","Total",151,0
"RXDRGNAM","ind","CROMOLYN NASAL","Total",37,0
"RXDRGNAM","ind","CROMOLYN OPHTHALMIC","Total",16,0
"RXDRGNAM","ind","CROTAMITON TOPICAL","Total",4,0
"RXDRGNAM","ind","CYANOCOBALAMIN","Total",39,0
"RXDRGNAM","ind","CYCLOBENZAPRINE","Total",305,0
"RXDRGNAM","ind","CYCLOPENTOLATE OPHTHALMIC","Total",7,0
"RXDRGNAM","ind","CYCLOPHOSPHAMIDE","Total",2,0
"RXDRGNAM","ind","CYCLOSPORINE","Total",44,0
"RXDRGNAM","ind","CYPROHEPTADINE","Total",36,0
"RXDRGNAM","ind","CYTARABINE","Total",3,0
"RXDRGNAM","ind","DANAZOL","Total",1,0
"RXDRGNAM","ind","DANTROLENE","Total",1,0
"RXDRGNAM","ind","DAPSONE","Total",6,0
"RXDRGNAM","ind","DESERPIDINE-METHYCLOTHIAZIDE","Total",9,0
"RXDRGNAM","ind","DESIPRAMINE","Total",25,0
"RXDRGNAM","ind","DESMOPRESSIN","Total",21,0
"RXDRGNAM","ind","DESOGESTREL-ETHINYL ESTRADIOL","Total",108,0
"RXDRGNAM","ind","DESONIDE TOPICAL","Total",58,0
"RXDRGNAM","ind","DESOXIMETASONE TOPICAL","Total",39,0
"RXDRGNAM","ind","DEXAMETHASONE","Total",51,0
"RXDRGNAM","ind","DEXAMETHASONE-NEOMYCIN OPHTHALMIC","Total",3,0
"RXDRGNAM","ind","DEXAMETHASONE-TOBRAMYCIN OPHTHALMIC","Total",106,0
"RXDRGNAM","ind","DEXAMETHASONE OPHTHALMIC","Total",6,0
"RXDRGNAM","ind","DEXAMETHASONE/NEOMYCIN/POLYMYXIN B OPHTHALMIC","Total",26,0
"RXDRGNAM","ind","DEXCHLORPHENIRAMINE","Total",2,0
"RXDRGNAM","ind","DEXFENFLURAMINE","Total",61,0
"RXDRGNAM","ind","DEXTROAMPHETAMINE","Total",34,0
"RXDRGNAM","ind","DEXTROMETHORPHAN","Total",17,0
"RXDRGNAM","ind","DEXTROMETHORPHAN-GUAIFENESIN","Total",136,0
"RXDRGNAM","ind","DEXTROMETHORPHAN-PHENYLPROPANOLAMINE","Total",11,0
"RXDRGNAM","ind","DEXTROMETHORPHAN-PROMETHAZINE","Total",51,0
"RXDRGNAM","ind","DEXTROMETHORPHAN/GUAIFENESIN/PHENYLEPHRINE","Total",4,0
"RXDRGNAM","ind","DEXTROMETHORPHAN/GUAIFENESIN/PPA","Total",49,0
"RXDRGNAM","ind","DEXTROMETHORPHAN/GUAIFENESIN/PSEUDOEPHEDRINE","Total",110,0
"RXDRGNAM","ind","DEXTROMETHORPHAN/PHENYLEPHRINE/PYRILAMINE","Total",8,0
"RXDRGNAM","ind","DIAZEPAM","Total",199,0
"RXDRGNAM","ind","DICLOFENAC","Total",176,0
