"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"TC1name","ind","Alternative Medicines","Total",83095.314278,26430.3066367198
"TC1name","ind","Anti-Infectives","Total",68741851.675891,1573591.79397191
"TC1name","ind","Antihyperlipidemic Agents","Total",23854985.957239,747078.451669835
"TC1name","ind","Antineoplastics","Total",4554371.664922,243689.640622537
"TC1name","ind","Biologicals","Total",180688.41119,42389.4108592547
"TC1name","ind","Cardiovascular Agents","Total",51145069.664283,1263287.63582392
"TC1name","ind","Central Nervous System Agents","Total",70791322.766732,1642148.92991971
"TC1name","ind","Coagulation Modifiers","Total",6861921.539172,309789.043546082
"TC1name","ind","Gastrointestinal Agents","Total",26339073.466652,743668.645187194
"TC1name","ind","Hormones/Hormone Modifiers","Total",59196813.650266,1378983.45291322
"TC1name","ind","Immunologic Agents","Total",809417.914026,98382.7448281307
"TC1name","ind","Miscellaneous Agents","Total",7167506.201458,310480.894374892
"TC1name","ind","Not Ascertained","Total",13494884.492947,491935.934088717
"TC1name","ind","Nutritional Products","Total",15677148.680591,533414.830518025
"TC1name","ind","Psychotherapeutic Agents","Total",31655368.26357,828867.314781186
"TC1name","ind","Respiratory Agents","Total",56023444.765227,1223330.90786468
"TC1name","ind","Topical Agents","Total",54880183.940795,1278892.07216638
"RXDRGNAM","ind","ABACAVIR","Total",17253.731159,9377.70693039311
"RXDRGNAM","ind","ABACAVIR/LAMIVUDINE/ZIDOVUDINE","Total",31310.991451,15659.3953953013
"RXDRGNAM","ind","ACARBOSE","Total",59255.297404,33282.4556341073
"RXDRGNAM","ind","ACEBUTOLOL","Total",111668.482234,38976.1926286848
"RXDRGNAM","ind","ACETAMINOPHEN","Total",2926808.622209,193464.645339303
"RXDRGNAM","ind","ACETAMINOPHEN-BUTALBITAL","Total",100839.269532,29603.2032848194
"RXDRGNAM","ind","ACETAMINOPHEN-CODEINE","Total",5292778.284401,265836.066745519
"RXDRGNAM","ind","ACETAMINOPHEN-HYDROCODONE","Total",9904028.048791,430330.415609622
"RXDRGNAM","ind","ACETAMINOPHEN-OXYCODONE","Total",3710679.986644,243792.686760595
"RXDRGNAM","ind","ACETAMINOPHEN-PENTAZOCINE","Total",20913.162184,20913.162184
"RXDRGNAM","ind","ACETAMINOPHEN-PHENYLTOLOXAMINE","Total",37777.255214,22495.6710772764
"RXDRGNAM","ind","ACETAMINOPHEN-PROPOXYPHENE","Total",3059774.06355,190450.57141938
"RXDRGNAM","ind","ACETAMINOPHEN-TRAMADOL","Total",516575.372262,87043.3817526809
"RXDRGNAM","ind","ACETAZOLAMIDE","Total",127922.987484,46007.1859501872
"RXDRGNAM","ind","ACETIC ACID-ALUMINUM ACETATE OTIC","Total",8571.035973,8571.035973
"RXDRGNAM","ind","ACETIC ACID-HYDROCORTISONE OTIC","Total",43417.624262,25977.575092735
"RXDRGNAM","ind","ACETIC ACID OTIC","Total",60635.827073,24104.5036982374
"RXDRGNAM","ind","ACETIC ACID TOPICAL","Total",10251.439333,8822.2381644481
"RXDRGNAM","ind","ACITRETIN","Total",10882.434633,10882.434633
"RXDRGNAM","ind","ACRIVASTINE-PSEUDOEPHEDRINE","Total",20026.663181,12100.7356731449
"RXDRGNAM","ind","ACYCLOVIR","Total",759001.107002,95723.1134594011
"RXDRGNAM","ind","ACYCLOVIR TOPICAL","Total",139348.174573,39204.593032507
"RXDRGNAM","ind","ADAPALENE TOPICAL","Total",648473.074417,93444.21422701
"RXDRGNAM","ind","AL HYDROXIDE/ASA/CA CARBONATE/MG HYDROXIDE","Total",30782.378239,14665.0918762977
"RXDRGNAM","ind","AL HYDROXIDE/MG HYDROXIDE/SIMETHICONE","Total",70654.791605,27334.4498018664
"RXDRGNAM","ind","ALBENDAZOLE","Total",15751.585855,15751.585855
"RXDRGNAM","ind","ALBUTEROL","Total",9934830.12335,356204.161108161
"RXDRGNAM","ind","ALBUTEROL-IPRATROPIUM","Total",983439.126164,114653.819278813
"RXDRGNAM","ind","ALCLOMETASONE TOPICAL","Total",100079.175165,34696.3806131509
"RXDRGNAM","ind","ALENDRONATE","Total",1653862.508873,141371.98123238
