"rowGrp","colGrp","rowLevels","colLevels","totEVT","totEVT_se"
"TC1name","ind","Alternative Medicines","Total",8789679.529877,1366512.06637854
"TC1name","ind","Anti-Infectives","Total",150766628.964233,5676384.13852303
"TC1name","ind","Antineoplastics","Total",17974518.930555,1348356.722829
"TC1name","ind","Biologicals","Total",1022335.938562,377597.415598353
"TC1name","ind","Cardiovascular Agents","Total",719154306.982961,22826912.5288907
"TC1name","ind","Central Nervous System Agents","Total",640600758.638142,21580836.7765177
"TC1name","ind","Coagulation Modifiers","Total",58097109.961193,3775123.23789653
"TC1name","ind","Gastrointestinal Agents","Total",182618197.883998,7516474.08200732
"TC1name","ind","Genitourinary Tract Agents","Total",17902740.163404,1441805.06589251
"TC1name","ind","Hormones/Hormone Modifiers","Total",260348475.937614,10323994.2813976
"TC1name","ind","Immunologic Agents","Total",8565853.703528,1349298.01846929
"TC1name","ind","Metabolic Agents","Total",527926327.976167,18507653.416865
"TC1name","ind","Miscellaneous Agents","Total",36808241.136535,2372489.33594961
"TC1name","ind","Not Ascertained","Total",79643655.803905,3516496.1059911
"TC1name","ind","Nutritional Products","Total",105604902.312797,5322639.23375806
"TC1name","ind","Psychotherapeutic Agents","Total",262152119.068938,11632706.2202697
"TC1name","ind","Respiratory Agents","Total",180443500.553091,7898747.85603849
"TC1name","ind","Topical Agents","Total",152041025.737136,6857091.84542223
"RXDRGNAM","ind","ACETAMINOPHEN","Total",3371071.004762,565383.018585299
"RXDRGNAM","ind","ACETAMINOPHEN-CODEINE","Total",7924622.808365,729150.613134523
"RXDRGNAM","ind","ACETAMINOPHEN-HYDROCODONE","Total",51279737.981691,3405498.61852568
"RXDRGNAM","ind","ACETAMINOPHEN-OXYCODONE","Total",16453860.010983,1250204.55169638
"RXDRGNAM","ind","ACETAMINOPHEN-TRAMADOL","Total",1683636.623183,438217.098357031
"RXDRGNAM","ind","ACETAMINOPHEN/BUTALBITAL/CAFFEINE","Total",2705911.621492,558770.976608974
"RXDRGNAM","ind","ACETIC ACID TOPICAL","Total",144465.492259,85560.373485345
"RXDRGNAM","ind","ACYCLOVIR","Total",4057239.249424,642652.900320347
"RXDRGNAM","ind","ADALIMUMAB","Total",3313929.171541,656532.277592706
"RXDRGNAM","ind","ADAPALENE-BENZOYL PEROXIDE TOPICAL","Total",570967.133748,179830.479524074
"RXDRGNAM","ind","AL HYDROXIDE/MG HYDROXIDE/SIMETHICONE","Total",17668.687695,9085.55013554285
"RXDRGNAM","ind","ALBUTEROL","Total",49747147.489668,2818808.61122899
"RXDRGNAM","ind","ALBUTEROL-IPRATROPIUM","Total",4986807.893599,801515.93931689
"RXDRGNAM","ind","ALENDRONATE","Total",10005087.953355,1098988.82682196
"RXDRGNAM","ind","ALFUZOSIN","Total",978657.811179,335772.292295039
"RXDRGNAM","ind","ALLOPURINOL","Total",15165006.232001,1375695.80989948
"RXDRGNAM","ind","ALOE VERA TOPICAL","Total",5400.635294,3968.42585597283
"RXDRGNAM","ind","ALPRAZOLAM","Total",27035851.123028,1885782.71765426
