"rowGrp","colGrp","rowLevels","colLevels","totEXP","totEXP_se"
"TC1name","ind","Alternative Medicines","Total",891495818.537838,167069859.131717
"TC1name","ind","Anti-Infectives","Total",45543007375.6278,11580611337.6349
"TC1name","ind","Antineoplastics","Total",6100699385.9658,1391308970.45418
"TC1name","ind","Biologicals","Total",1052125066.89484,648840919.390957
"TC1name","ind","Cardiovascular Agents","Total",28724315481.154,1128870392.23185
"TC1name","ind","Central Nervous System Agents","Total",52742527837.7971,3508311692.50343
"TC1name","ind","Coagulation Modifiers","Total",9189501163.14123,765904756.968642
"TC1name","ind","Gastrointestinal Agents","Total",18690891205.6282,1558758438.79204
"TC1name","ind","Genitourinary Tract Agents","Total",3597980545.96757,395371176.70024
"TC1name","ind","Hormones/Hormone Modifiers","Total",20137224400.6838,1556536028.90243
"TC1name","ind","Immunologic Agents","Total",13699114420.6051,3597693504.62816
"TC1name","ind","Metabolic Agents","Total",80848529708.0021,4108852671.75173
"TC1name","ind","Miscellaneous Agents","Total",18520579006.8605,2444347760.00069
"TC1name","ind","Not Ascertained","Total",6499622401.72093,748883548.970795
"TC1name","ind","Nutritional Products","Total",2263866767.58406,174874951.430426
"TC1name","ind","Psychotherapeutic Agents","Total",25064354506.65,1741148633.18255
"TC1name","ind","Respiratory Agents","Total",24715482756.0444,1368451787.87974
"TC1name","ind","Topical Agents","Total",14729724411.255,980163383.201491
"RXDRGNAM","ind","ACETAMINOPHEN","Total",18032118.8207638,2619155.43352871
"RXDRGNAM","ind","ACETAMINOPHEN-CODEINE","Total",86498015.4242954,10765978.5228012
"RXDRGNAM","ind","ACETAMINOPHEN-HYDROCODONE","Total",1566392726.38275,167770008.576792
"RXDRGNAM","ind","ACETAMINOPHEN-OXYCODONE","Total",1148602539.6885,174101483.578623
"RXDRGNAM","ind","ACETAMINOPHEN-TRAMADOL","Total",83262241.6866096,37644027.7773525
"RXDRGNAM","ind","ACETAMINOPHEN/BUTALBITAL/CAFFEINE","Total",191620236.617147,65439260.7379045
"RXDRGNAM","ind","ACETIC ACID TOPICAL","Total",4572059.27405912,2743854.42440445
"RXDRGNAM","ind","ACYCLOVIR","Total",165948780.128757,40778142.9610637
"RXDRGNAM","ind","ADALIMUMAB","Total",10125405450.3677,1952929011.12607
"RXDRGNAM","ind","ADAPALENE-BENZOYL PEROXIDE TOPICAL","Total",216404215.383898,70704634.172226
"RXDRGNAM","ind","AL HYDROXIDE/MG HYDROXIDE/SIMETHICONE","Total",68290.17539767,39606.3312261093
"RXDRGNAM","ind","ALBUTEROL","Total",2756867445.3318,157330057.534734
"RXDRGNAM","ind","ALBUTEROL-IPRATROPIUM","Total",1246559432.3699,293713273.340388
"RXDRGNAM","ind","ALENDRONATE","Total",327104906.658382,58658729.6296594
"RXDRGNAM","ind","ALFUZOSIN","Total",81597788.1710248,45968338.0766666
"RXDRGNAM","ind","ALLOPURINOL","Total",561597896.623299,248299553.150531
"RXDRGNAM","ind","ALOE VERA TOPICAL","Total",74683.18843406,55098.0274824198
"RXDRGNAM","ind","ALPRAZOLAM","Total",403828937.120982,40092791.6847541
"RXDRGNAM","ind","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE","Total",189866.73980424,132224.031108127
"RXDRGNAM","ind","AMIODARONE","Total",80041722.2867068,16383626.2393252
