"rowGrp","colGrp","rowLevels","colLevels","medEXP","medEXP_se"
"ind","ind","Total","Total",628,15.8166171646643
"ind","event","Total","TOT",628,15.8166171646643
"ind","event","Total","DVT",150,2.29596055616094
"ind","event","Total","RX",144,4.33681438385956
"ind","event","Total","OBV",224,4.33681438385956
"ind","event","Total","OBD",196,3.82660092693491
"ind","event","Total","OBO",109,3.82660092693491
"ind","event","Total","OPT",502,31.6332343293285
"ind","event","Total","OPY",990,59.6949744601845
"ind","event","Total","OPZ",230,15.0512969792773
"ind","event","Total","ERT",302,8.41852203925679
"ind","event","Total","IPT",4911,188.778979062122
"ind","event","Total","HHT",1210,183.676844492875
"ind","event","Total","OMA",164,4.08170765539723
"ind","sop","Total","EXP",628,15.8166171646643
"ind","sop","Total","SLF",190,5.10213456924654
"ind","sop","Total","PTR",374,10.9695893238801
"ind","sop","Total","MCR",597,34.9496217993388
"ind","sop","Total","MCD",273,11.734909509267
"ind","sop","Total","OTZ",208,8.67362876771912
"ind","agegrps","Total","Under 5",263,14.5410835223526
"ind","agegrps","Total","5-17",304,10.4593758669554
"ind","agegrps","Total","18-44",530,13.7757633369657
"ind","agegrps","Total","45-64",1057,33.6740881570272
"ind","agegrps","Total","65+",2221,83.4199002071809
"event","sop","TOT","EXP",628,15.8166171646643
"event","sop","TOT","SLF",190,5.10213456924654
"event","sop","TOT","PTR",374,10.9695893238801
"event","sop","TOT","MCR",597,34.9496217993388
"event","sop","TOT","MCD",273,11.734909509267
"event","sop","TOT","OTZ",208,8.67362876771912
"event","sop","DVT","EXP",150,2.29596055616094
"event","sop","DVT","SLF",100,3.31638747001025
"event","sop","DVT","PTR",125,3.06128074154792
"event","sop","DVT","MCR",97,17.8574709923629
"event","sop","DVT","MCD",78,5.10213456924654
"event","sop","DVT","OTZ",99,8.92873549618145
"event","sop","RX","EXP",144,4.33681438385956
"event","sop","RX","SLF",63,2.04085382769862
"event","sop","RX","PTR",91,3.57149419847258
"event","sop","RX","MCR",224,21.9391786477601
"event","sop","RX","MCD",89,7.90830858233214
"event","sop","RX","OTZ",126,21.1738584623731
"event","sop","OBV","EXP",224,4.33681438385956
"event","sop","OBV","SLF",50,1.02042691384931
"event","sop","OBV","PTR",159,4.84702784078421
"event","sop","OBV","MCR",244,9.4389489531061
"event","sop","OBV","MCD",119,4.84702784078421
"event","sop","OBV","OTZ",130,6.88788166848283
"event","sop","OBD","EXP",196,3.82660092693491
"event","sop","OBD","SLF",40,1.27553364231164
"event","sop","OBD","PTR",139,3.82660092693491
"event","sop","OBD","MCR",221,7.65320185386981
"event","sop","OBD","MCD",106,3.82660092693491
"event","sop","OBD","OTZ",117,6.37766821155818
"event","sop","OBO","EXP",109,3.82660092693491
"event","sop","OBO","SLF",40,1.78574709923629
"event","sop","OBO","PTR",85,3.82660092693491
"event","sop","OBO","MCR",67,5.10213456924654
"event","sop","OBO","MCD",76,7.90830858233214
"event","sop","OBO","OTZ",104,13.0104431515787
"event","sop","OPT","EXP",502,31.6332343293285
"event","sop","OPT","SLF",58,4.59192111232189
"event","sop","OPT","PTR",424,30.8679141439416
"event","sop","OPT","MCR",295,26.7862064885443
"event","sop","OPT","MCD",173,23.9800324754587
"event","sop","OPT","OTZ",245,22.4493921046848
"event","sop","OPY","EXP",990,59.6949744601845
"event","sop","OPY","SLF",82,9.4389489531061
"event","sop","OPY","PTR",900,81.3790463794823
"event","sop","OPY","MCR",487,44.3885707524449
"event","sop","OPY","MCD",218,45.4089976662942
"event","sop","OPY","OTZ",370,73.4707377971502
"event","sop","OPZ","EXP",230,15.0512969792773
"event","sop","OPZ","SLF",40,3.82660092693491
"event","sop","OPZ","PTR",179,11.4798027808047
"event","sop","OPZ","MCR",171,16.0717238931266
