"rowGrp","colGrp","rowLevels","colLevels","totEXP","totEXP_se"
"ind","ind","Total","Total",726354166774.756,20005091265.366
"ind","event","Total","TOT",726354166774.756,20005091265.366
"ind","event","Total","DVT",59497973523.0461,2027706453.65844
"ind","event","Total","RX",134124880093.22,3844905997.91773
"ind","event","Total","OBV",156733199231.772,4271165902.05174
"ind","event","Total","OBD",117978881382.118,3230476948.26508
"ind","event","Total","OBO",37337128053.9279,1548917820.00682
"ind","event","Total","OPT",68015940859.1213,2944173881.84071
"ind","event","Total","OPY",43068065189.0296,1975996304.50523
"ind","event","Total","OPZ",23963915240.563,1557046524.16871
"ind","event","Total","ERT",25513594911.3527,1158925115.49355
"ind","event","Total","IPT",234594261758.778,11295514140.0633
"ind","event","Total","HHT",31208728346.6125,4057156242.01736
"ind","event","Total","OMA",16666687665.5295,711026204.804851
"ind","sop","Total","EXP",726354166774.756,20005091265.366
"ind","sop","Total","SLF",143409175806.879,3779274253.43407
"ind","sop","Total","PTR",302747374436.031,10874335556.1662
"ind","sop","Total","MCR",156657417014.214,7666083832.51872
"ind","sop","Total","MCD",62561642240.5242,4080606996.70743
"ind","sop","Total","OTZ",60983253507.9532,4258855252.98193
"ind","agegrps","Total","Under 5",19425945911.3275,1885609359.24091
"ind","agegrps","Total","5-17",54008949397.2435,4197597743.95194
"ind","agegrps","Total","18-44",176973057552.414,6222549947.34379
"ind","agegrps","Total","45-64",232590947295.679,9259143799.2522
"ind","agegrps","Total","65+",243355266618.092,10660791529.2206
"event","sop","TOT","EXP",726354166774.756,20005091265.366
"event","sop","TOT","SLF",143409175806.879,3779274253.43407
"event","sop","TOT","PTR",302747374436.031,10874335556.1662
"event","sop","TOT","MCR",156657417014.214,7666083832.51872
"event","sop","TOT","MCD",62561642240.5242,4080606996.70743
"event","sop","TOT","OTZ",60983253507.9532,4258855252.98193
"event","sop","DVT","EXP",59497973523.0461,2027706453.65844
"event","sop","DVT","SLF",29654313944.5024,1091509215.3964
"event","sop","DVT","PTR",25424087191.6997,1065586772.90437
"event","sop","DVT","MCR",323422920.094259,56162141.6101792
"event","sop","DVT","MCD",1552607687.56426,131003437.743088
"event","sop","DVT","OTZ",2544286341.25941,262045604.860494
"event","sop","RX","EXP",134124880093.22,3844905997.91773
"event","sop","RX","SLF",59026869175.8892,1632845172.88083
"event","sop","RX","PTR",49750484855.5212,2224987398.54986
"event","sop","RX","MCR",5778980885.94838,440374399.765126
"event","sop","RX","MCD",14381183549.7851,1074013939.80605
"event","sop","RX","OTZ",5187642646.93392,394253128.381322
"event","sop","OBV","EXP",156733199231.772,4271165902.05174
"event","sop","OBV","SLF",26824924388.1842,848243988.706789
"event","sop","OBV","PTR",73042617501.1644,2555968256.93486
"event","sop","OBV","MCR",29098414838.4425,1828352360.9086
"event","sop","OBV","MCD",10756897481.8394,797625792.143475
"event","sop","OBV","OTZ",17012503466.6971,987098390.249958
"event","sop","OBD","EXP",117978881382.118,3230476948.26508
"event","sop","OBD","SLF",17883747110.3533,592224124.042171
"event","sop","OBD","PTR",56226714382.7187,1911293866.85937
"event","sop","OBD","MCR",23232403579.5752,1569883596.12569
"event","sop","OBD","MCD",8465880977.02107,620043097.008299
