"rowGrp","colGrp","rowLevels","colLevels","meanEVT","meanEVT_se"
"ind","ind","Total","Total",166.683376047909,2.6937147411972
"ind","event","Total","DVT",207.534153915233,3.30901757134751
"ind","event","Total","ERT",493.931476172085,14.6902945984009
"ind","event","Total","HHT",1061.68285167451,76.6479713549693
"ind","event","Total","IPT",8698.00110181867,297.761836906506
"ind","event","Total","OBV",122.22825791025,1.78383012520216
"ind","event","Total","OPT",490.480731968011,18.0380209768634
"ind","event","Total","RX",55.9288306663161,0.466236247250585
"ind","sop","Total","XP",166.683376047909,2.6937147411972
"ind","sop","Total","SF",30.4625603973754,0.472221166528245
"ind","sop","Total","PR",67.0136481452244,1.72772905762026
"ind","sop","Total","MR",37.1866233636249,1.69553997162464
"ind","sop","Total","MD",18.1471907217911,1.28768456171178
"ind","sop","Total","OZ",13.8733534198936,0.780555597418375
"ind","agegrps","Total","Under 5",194.127183972693,37.6757421714311
"ind","agegrps","Total","5-17",139.017244623462,6.12613733346936
"ind","agegrps","Total","18-44",163.550225387495,3.95486800482628
"ind","agegrps","Total","45-64",154.786988762374,4.37950073925885
"ind","agegrps","Total","65+",187.996489580468,5.89488014248263
"ind","region","Total","Northeast",171.766858722727,5.50281652233188
"ind","region","Total","Midwest",172.482888196743,4.90789715604209
"ind","region","Total","South",155.853019197207,3.91695701720607
"ind","region","Total","West",175.067885863042,8.16297522101643
"ind","married","Total","Married",164.951778790707,3.03939999234345
"ind","married","Total","Widowed",175.304135540602,7.1347705167913
"ind","married","Total","Divorced",173.066105657507,9.83095908391446
"ind","married","Total","Separated",177.172913665508,19.2229765219048
"ind","married","Total","Never married",165.944608922613,5.71759713027896
"ind","married","Total","Inapplicable (age < 16)",154.461729823097,11.4183823720367
"ind","race","Total","Hispanic",174.640805868018,10.1223420078542
"ind","race","Total","White",165.689264498472,3.21823995033868
"ind","race","Total","Black",179.769247878921,8.96720458574957
"ind","race","Total","Amer. Indian, AK Native, or mult. races",132.107591172247,7.66113766533055
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",153.168042500253,8.69504298768196
"ind","sex","Total","Male",185.024995155069,5.19486214020395
"ind","sex","Total","Female",154.958927734641,2.97491653522517
"ind","education","Total","Less than high school",176.25238948447,6.33710655694229
"ind","education","Total","High school",172.378277262384,5.16362994834883
"ind","education","Total","Some college",159.489006521625,3.18030101792172
"ind","education","Total","Inapplicable (age < 18)",153.579839620799,10.122604405563
"ind","education","Total","Missing",288.886396042808,73.1141247436254
"ind","employed","Total","Employed",147.664488303951,2.73330210711598
"ind","employed","Total","Not employed",183.864841919437,4.1551424373051
"ind","employed","Total","Inapplicable (age < 16)",154.461729823097,11.4183823720367
"ind","insurance","Total","Any private, all ages",163.969602002949,2.79951444733095
"ind","insurance","Total","Public only, all ages",182.456460896542,6.78888786331652
"ind","insurance","Total","Uninsured, all ages",125.25730104112,8.61354182194552
"ind","poverty","Total","Negative or poor",174.019743550335,8.44436016108864
"ind","poverty","Total","Near-poor",160.029160201693,11.4956351024294
"ind","poverty","Total","Low income",177.030551118581,8.97432711458246
"ind","poverty","Total","Middle income",169.970345236252,4.81278659326979
"ind","poverty","Total","High income",158.972974602291,3.2939744484093
"ind","health","Total","Excellent",141.062460332128,3.57608068324814
"ind","health","Total","Very good",142.011564218441,2.64784100078314
"ind","health","Total","Good",168.670776988772,5.58432748109241
"ind","health","Total","Fair",180.435925511587,6.2094242835052
"ind","health","Total","Poor",219.097567394091,12.1242195735785
"ind","mnhlth","Total","Excellent",158.012343310525,4.45498618047621
"ind","mnhlth","Total","Very good",152.466245020543,3.07824054036084
"ind","mnhlth","Total","Good",175.053833121545,6.08812806989478
"ind","mnhlth","Total","Fair",166.059705305041,7.68422228749818
"ind","mnhlth","Total","Poor",225.545496677824,22.6464705107863
"ind","agegrps_v2X","Total","Under 18",153.579839620799,10.122604405563
"ind","agegrps_v2X","Total","18-64",158.384686200223,3.08849650419908
"ind","agegrps_v2X","Total","65+",187.996489580468,5.89488014248263
"ind","insurance_v2X","Total","<65, Any private",155.842007356572,2.98218765387682
"ind","insurance_v2X","Total","<65, Public only",177.29525241937,9.78925399715035
"ind","insurance_v2X","Total","<65, Uninsured",125.514453995474,8.63533928674769
"ind","insurance_v2X","Total","65+, Medicare only",183.871718909086,10.9735016929579
"ind","insurance_v2X","Total","65+, Medicare and private",188.002121568341,7.32603115209237
"ind","insurance_v2X","Total","65+, Medicare and other public",195.723194278886,13.6670322218771
"ind","insurance_v2X","Total","65+, No medicare",199.045725424933,72.171351940002
"ind","event_v2X","Total","Missing",152.91334483098,16.6910983562782
"ind","event_v2X","Total","OBD",133.428466637584,2.15026053391531
"ind","event_v2X","Total","OBO",99.8621196685928,2.64446169134412
"ind","event_v2X","Total","OPY",915.381970236145,39.0559064219712
"ind","event_v2X","Total","OPZ",281.823756673242,14.6256979873128
"event","sop","DVT","XP",207.534153915233,3.30901757134751
"event","sop","ERT","XP",493.931476172085,14.6902945984009
"event","sop","HHT","XP",1061.68285167451,76.6479713549693
"event","sop","IPT","XP",8698.00110181867,297.761836906506
"event","sop","OBV","XP",122.22825791025,1.78383012520216
"event","sop","OPT","XP",490.480731968011,18.0380209768634
"event","sop","RX","XP",55.9288306663161,0.466236247250585
"event","sop","DVT","SF",102.676266207002,2.77921159925635
"event","sop","ERT","SF",56.4693359745642,3.44663897551921
"event","sop","HHT","SF",81.0250563620107,20.7865595904997
"event","sop","IPT","SF",216.246114115541,19.025103098751
"event","sop","OBV","SF",21.8013013550098,0.697022387042506
"event","sop","OPT","SF",30.8941539824538,2.18309248654167
"event","sop","RX","SF",23.6726897311409,0.330323440305569
"event","sop","DVT","PR",86.8420951270989,2.25624743936939
"event","sop","ERT","PR",249.69783970654,11.2439149101868
"event","sop","HHT","PR",68.7621954229408,15.9685819943369
"event","sop","IPT","PR",3385.15890830331,215.591054846413
"event","sop","OBV","PR",50.0705354475565,1.18585030742661
"event","sop","OPT","PR",285.492398653127,14.9909148601814
"event","sop","RX","PR",20.8214999749278,0.529278115237224
"event","sop","DVT","MR",1.0187039523555,0.262217755004382
"event","sop","ERT","MR",78.4639521190923,6.74144501482634
"event","sop","HHT","MR",325.217110296936,29.7851930794553
"event","sop","IPT","MR",3460.29111653871,208.779481149314
"event","sop","OBV","MR",25.7092829732066,1.02882599420851
"event","sop","OPT","MR",94.867544269689,7.08080092580311
"event","sop","RX","MR",2.38532490387881,0.233161333489416
"event","sop","DVT","MD",7.93345047923133,0.846950340202378
"event","sop","ERT","MD",45.9970648732003,4.99505033089309
"event","sop","HHT","MD",476.064898785315,75.239314438135
"event","sop","IPT","MD",901.087045541385,141.075073756684
"event","sop","OBV","MD",10.3797375571366,0.631531494755748
"event","sop","OPT","MD",31.1714505073615,2.87362989499748
"event","sop","RX","MD",6.97984496728332,0.376978570817532
"event","sop","DVT","OZ",9.06363814954541,0.62444640005404
"event","sop","ERT","OZ",63.3032834986876,5.88252238794487
"event","sop","HHT","OZ",110.613590807308,14.2589937343543
"event","sop","IPT","OZ",735.217917319727,98.5174232808385
"event","sop","OBV","OZ",14.2674005773406,0.713313882647801
"event","sop","OPT","OZ",48.0551845553796,4.79087307725224
"event","sop","RX","OZ",2.06947108908526,0.14346125051296
"event","agegrps","DVT","Under 5",103.244185814515,5.81813132888432
"event","agegrps","DVT","5-17",184.55460843321,7.72059931314264
"event","agegrps","DVT","18-44",200.08524479509,4.61071478960248
"event","agegrps","DVT","45-64",243.154186331885,7.75788525197353
"event","agegrps","DVT","65+",207.081570191074,8.39597590990715
"event","agegrps","ERT","Under 5",265.105652467672,17.3806172452549
"event","agegrps","ERT","5-17",388.642396964,18.6169956965803
"event","agegrps","ERT","18-44",520.937653582698,22.2710379128394
"event","agegrps","ERT","45-64",626.695236833387,36.6039253492221
"event","agegrps","ERT","65+",480.442867536749,33.227135883703
"event","agegrps","HHT","Under 5",976.369775003637,222.511733074539
"event","agegrps","HHT","5-17",2659.08751850246,1388.73341847439
"event","agegrps","HHT","18-44",1282.22410728614,284.931540147946
"event","agegrps","HHT","45-64",1166.74178430722,203.009109798908
"event","agegrps","HHT","65+",949.994436420516,55.4965291905583
"event","agegrps","IPT","Under 5",11304.5523029026,4153.74755534174
"event","agegrps","IPT","5-17",6009.52599284997,682.141086078253
"event","agegrps","IPT","18-44",6144.41428542637,296.646281389226
"event","agegrps","IPT","45-64",9373.52711202433,645.631066406275
"event","agegrps","IPT","65+",10265.4438741231,502.992638319071
"event","agegrps","OBV","Under 5",87.8348036851457,2.14214954816837
