"rowGrp","colGrp","rowLevels","colLevels","totEVT","totEVT_se"
"ind","ind","Total","Total",4755059785.71706,105823668.728282
"ind","event","Total","DVT",309850095.791733,8387826.98151334
"ind","event","Total","ERT",56442218.185374,1550907.86939867
"ind","event","Total","HHT",32793866.151149,2418768.79475617
"ind","event","Total","IPT",29438808.967791,935472.914831761
"ind","event","Total","OBV",1472674146.88295,33582381.6306661
"ind","event","Total","OPT",160890770.303452,7666968.74888813
"ind","event","Total","RX",2692969879.43461,67796991.3818745
"ind","sop","Total","XP",4604202219.45369,102870089.566676
"ind","sop","Total","SF",3526573680.11263,81046598.7602015
"ind","sop","Total","PR",2183169968.85841,57490453.3881507
"ind","sop","Total","MR",529501740.818888,20565569.1875885
"ind","sop","Total","MD",520010615.485421,25276366.9425837
"ind","sop","Total","OZ",319395083.048794,14156958.2865697
"ind","agegrps","Total","Under 5",133076970.24548,6030043.64377198
"ind","agegrps","Total","5-17",370532706.487893,12507739.5498578
"ind","agegrps","Total","18-44",1164768232.02379,33826571.4129478
"ind","agegrps","Total","45-64",1672362962.85315,46154125.9894039
"ind","agegrps","Total","65+",1414318914.10674,54338237.9050913
"ind","region","Total","Northeast",941223280.497324,41007724.4457781
"ind","region","Total","Midwest",1143765097.30971,56809308.1357661
"ind","region","Total","South",1759325855.93402,69262869.95727
"ind","region","Total","West",910745551.976002,44568986.6590817
"ind","married","Total","Married",2386256738.7956,66269608.7925052
"ind","married","Total","Widowed",626336200.401236,30714044.8232482
"ind","married","Total","Divorced",577392605.86286,25009553.7846194
"ind","married","Total","Separated",80290953.065771,8524848.42106153
"ind","married","Total","Never married",649908749.467042,26777813.3359841
"ind","married","Total","Inapplicable (age < 16)",434874538.124549,14240046.4670873
"ind","race","Total","Hispanic",349795463.1959,21168197.3147381
"ind","race","Total","White",3723276761.30079,98377670.025482
"ind","race","Total","Black",462793052.30343,25718217.7029959
"ind","race","Total","Amer. Indian, AK Native, or mult. races",103306622.095946,12766931.2180978
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",115887886.820996,10564757.363782
"ind","sex","Total","Male",1854264872.90656,47675761.8121521
"ind","sex","Total","Female",2900794912.8105,67479221.6686729
"ind","education","Total","Less than high school",998466404.99157,36484064.9282003
"ind","education","Total","High school",1386568867.47966,41429665.2133385
"ind","education","Total","Some college",1846506903.25211,55283894.777505
"ind","education","Total","Inapplicable (age < 18)",503609676.733373,15389234.9870521
"ind","education","Total","Missing",19907933.260345,4544745.33073587
"ind","employed","Total","Employed",1911787150.09504,51623924.1610034
"ind","employed","Total","Not employed",2408317616.8787,70246960.5754876
"ind","employed","Total","Inapplicable (age < 16)",434874538.124549,14240046.4670873
"ind","insurance","Total","Any private, all ages",3365088018.36299,81960863.4900476
"ind","insurance","Total","Public only, all ages",1166331173.10805,46961901.3613071
"ind","insurance","Total","Uninsured, all ages",223640594.246018,12579542.6467658
"ind","poverty","Total","Negative or poor",601483806.380499,28187567.6617445
"ind","poverty","Total","Near-poor",232713009.282589,14673306.4618818
"ind","poverty","Total","Low income",683059451.031132,30928485.9387077
"ind","poverty","Total","Middle income",1366949069.38997,43494980.9315529
"ind","poverty","Total","High income",1870854449.63287,56590181.5839973
"ind","health","Total","Excellent",725862864.908546,27195876.0907198
"ind","health","Total","Very good",1248968662.55191,37771321.9735788
"ind","health","Total","Good",1400232290.52413,40654943.7858716
"ind","health","Total","Fair",849529106.010381,32876578.9054557
"ind","health","Total","Poor",527222680.853821,29386353.4403764
"ind","mnhlth","Total","Excellent",1315733375.1708,42249136.0514478
"ind","mnhlth","Total","Very good",1332122551.00606,40485327.4537714
"ind","mnhlth","Total","Good",1396606782.66921,42766745.252811
"ind","mnhlth","Total","Fair",509204408.34348,22103131.1532857
"ind","mnhlth","Total","Poor",198148487.659245,17271234.2209186
"ind","agegrps_v2X","Total","Under 18",503609676.733373,15389234.9870521
"ind","agegrps_v2X","Total","18-64",2837131194.87694,67572355.5980873
"ind","agegrps_v2X","Total","65+",1414318914.10674,54338237.9050913
"ind","insurance_v2X","Total","<65, Any private",2520816695.14316,64747395.7083017
"ind","insurance_v2X","Total","<65, Public only",597537292.961661,28477864.8365918
"ind","insurance_v2X","Total","<65, Uninsured",222386883.505493,12502227.8706375
"ind","insurance_v2X","Total","65+, Medicare only",376495084.056876,22823979.4800633
"ind","insurance_v2X","Total","65+, Medicare and private",839878518.251811,36458878.5499817
"ind","insurance_v2X","Total","65+, Medicare and other public",192298796.089517,15436146.9489972
"ind","insurance_v2X","Total","65+, No medicare",5646515.708539,1363708.74513404
"ind","event_v2X","Total","Missing",12637914.849886,1758951.54345178
"ind","event_v2X","Total","OBD",976766224.53555,22099524.3957998
"ind","event_v2X","Total","OBO",485874049.79999,15715365.5487837
"ind","event_v2X","Total","OPY",52916873.705221,2667245.03227174
"ind","event_v2X","Total","OPZ",105369854.295756,6275979.29478501
"event","sop","DVT","XP",257009678.659592,6732664.69003888
"event","sop","ERT","XP",52784075.432607,1495930.494019
"event","sop","HHT","XP",31830197.012689,2375686.04227271
"event","sop","IPT","XP",29041479.28796,925615.258067106
"event","sop","OBV","XP",1391097124.78812,31932392.3882194
"event","sop","OPT","XP",149469784.838111,6583343.30881651
"event","sop","RX","XP",2692969879.43461,67796991.3818745
"event","sop","DVT","SF",164079641.734723,4641660.74114955
"event","sop","ERT","SF",22171866.132548,797597.350696546
"event","sop","HHT","SF",6537111.409576,849767.337669846
"event","sop","IPT","SF",11074746.789802,461869.98920782
"event","sop","OBV","SF",795499837.577792,21164634.1771086
"event","sop","OPT","SF",47570464.240496,2530320.18558831
"event","sop","RX","SF",2479640012.2277,62656407.7517026
"event","sop","DVT","PR",143976221.557756,4530206.56214248
"event","sop","ERT","PR",29262757.70921,944194.680577252
"event","sop","HHT","PR",2611711.837918,449679.112463815
"event","sop","IPT","PR",17115550.490547,700834.102380394
"event","sop","OBV","PR",787993679.782339,20604578.9178427
"event","sop","OPT","PR",90545207.006108,4527205.16552816
"event","sop","RX","PR",1111664840.47453,33371413.6538397
"event","sop","DVT","MR",1624867.776283,227946.764977938
"event","sop","ERT","MR",12222988.521782,590633.371136574
"event","sop","HHT","MR",10300434.193647,1189205.09756196
"event","sop","IPT","MR",12446593.50206,564347.135711914
"event","sop","OBV","MR",320805123.721412,12831830.226746
"event","sop","OPT","MR",53172498.207154,4073492.06616766
"event","sop","RX","MR",118929234.89655,8223538.00847126
"event","sop","DVT","MD",17920253.847766,1202856.48280912
"event","sop","ERT","MD",11455831.462704,690190.885948624
"event","sop","HHT","MD",10341570.5346,1175858.49398947
"event","sop","IPT","MD",6227764.247757,388812.294697056
"event","sop","OBV","MD",140616577.477127,7308837.82912938
"event","sop","OPT","MD",20026870.588772,2243810.08726305
"event","sop","RX","MD",313421747.326695,17120603.4896365
"event","sop","DVT","OZ",11739853.53878,690609.273514731
"event","sop","ERT","OZ",8286446.393022,430753.59668257
"event","sop","HHT","OZ",6582251.508704,821055.25699868
"event","sop","IPT","OZ",4681578.950262,288218.764431802
"event","sop","OBV","OZ",162301867.372823,7322290.53447023
"event","sop","OPT","OZ",21180331.292637,1799233.25493308
"event","sop","RX","OZ",104622753.992566,7997990.93738605
"event","agegrps","DVT","Under 5",4934412.451863,339334.520779751
"event","agegrps","DVT","5-17",80088288.671538,3281550.60769213
"event","agegrps","DVT","18-44",96441679.098591,3335599.63819074
"event","agegrps","DVT","45-64",86810803.113429,2947698.79345607
"event","agegrps","DVT","65+",41574912.456312,1962842.20381198
"event","agegrps","ERT","Under 5",5297969.844437,391385.349525716
"event","agegrps","ERT","5-17",7622806.164341,366758.343541867
"event","agegrps","ERT","18-44",20522863.26109,784091.6282235
"event","agegrps","ERT","45-64",12108421.272856,501424.687726933
"event","agegrps","ERT","65+",10890157.64265,597748.419896484
"event","agegrps","HHT","Under 5",1084284.490848,241591.493302206
"event","agegrps","HHT","5-17",875051.581472,234471.568404087
"event","agegrps","HHT","18-44",3015716.621575,623116.088636919
"event","agegrps","HHT","45-64",5244084.580599,644295.939824537
"event","agegrps","HHT","65+",22574728.876655,2139781.87398883
"event","agegrps","IPT","Under 5",1136466.057269,120077.884062257
"event","agegrps","IPT","5-17",1260505.971477,145794.493493657
"event","agegrps","IPT","18-44",8471439.757229,389964.173230033
"event","agegrps","IPT","45-64",7903087.259505,479438.650091456
"event","agegrps","IPT","65+",10667309.922311,532374.543854137
"event","agegrps","OBV","Under 5",74707009.584004,3480980.4711275
"event","agegrps","OBV","5-17",138718173.712984,5511531.82644822
"event","agegrps","OBV","18-44",435774370.943653,13786177.716201
"event","agegrps","OBV","45-64",467948524.619432,14438361.3636198
"event","agegrps","OBV","65+",355526068.022878,15462321.3171324
"event","agegrps","OPT","Under 5",2785787.017294,289878.127670526
"event","agegrps","OPT","5-17",8287835.304318,999799.805301601
"event","agegrps","OPT","18-44",40349763.667499,3458371.7723018
"event","agegrps","OPT","45-64",55415750.403591,3448809.46460075
"event","agegrps","OPT","65+",54051633.91075,4313094.65706253
"event","agegrps","RX","Under 5",43131040.799765,2324684.52144562
"event","agegrps","RX","5-17",133680045.081763,5449397.43285198
"event","agegrps","RX","18-44",560192398.674154,18860283.6708035
"event","agegrps","RX","45-64",1036932291.60374,32382832.8733677
"event","agegrps","RX","65+",919034103.275187,37473456.1942124
"event","region","DVT","Northeast",66721595.282597,3895557.43636954
"event","region","DVT","Midwest",75937173.645012,4595075.7208133
"event","region","DVT","South",94718030.915564,4634466.88778721
"event","region","DVT","West",72473295.94856,3765178.59584545
"event","region","ERT","Northeast",11036534.794096,609254.754717364
"event","region","ERT","Midwest",12954322.747027,862167.40388206
"event","region","ERT","South",21356282.486484,816216.107236101
"event","region","ERT","West",11095078.157767,781046.21106673
"event","region","HHT","Northeast",9898653.771884,1227126.11522545
"event","region","HHT","Midwest",8115808.650044,1513520.46765662
"event","region","HHT","South",9774678.489382,1086882.15583723
"event","region","HHT","West",5004725.239839,912834.44032757
"event","region","IPT","Northeast",5557934.996009,350548.789877603
"event","region","IPT","Midwest",7047397.840946,544094.909344319
"event","region","IPT","South",11343843.483063,494706.586435072
"event","region","IPT","West",5489632.647773,448368.647598411
"event","region","OBV","Northeast",309976500.158297,16107665.3314126
"event","region","OBV","Midwest",344835754.854138,17530773.0377592
"event","region","OBV","South",499658108.546614,19118657.7886884
"event","region","OBV","West",318203783.323902,14704173.7106669
"event","region","OPT","Northeast",41505362.678641,3279253.93588495
"event","region","OPT","Midwest",42239331.833131,3457021.82616218
"event","region","OPT","South",52532888.290707,5340663.20516711
"event","region","OPT","West",24613187.500973,2646263.69505271
"event","region","RX","Northeast",496526698.8158,23354198.9985054
"event","region","RX","Midwest",652635307.739416,34995244.5499844
"event","region","RX","South",1069942023.7222,48128038.8790634
"event","region","RX","West",473865849.157188,26926455.4924454
"event","married","DVT","Married",139491536.571505,4516798.01465837
"event","married","DVT","Widowed",15802128.735616,1076939.6601517
"event","married","DVT","Divorced",24037107.327669,1246562.65394757
