"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"ind","ind","Total","Total",24029,0
"ind","event","Total","TOT",24029,0
"ind","event","Total","DVT",11071,0
"ind","event","Total","RX",17308,0
"ind","event","Total","OBV",19911,0
"ind","event","Total","OBD",18556,0
"ind","event","Total","OBO",8041,0
"ind","event","Total","OPT",3986,0
"ind","event","Total","OPY",2193,0
"ind","event","Total","OPZ",2385,0
"ind","event","Total","ERT",3740,0
"ind","event","Total","IPT",2185,0
"ind","event","Total","HHT",635,0
"ind","event","Total","OMA",4889,0
"ind","sop","Total","EXP",24029,0
"ind","sop","Total","SLF",20753,0
"ind","sop","Total","PTR",13812,0
"ind","sop","Total","MCR",4147,0
"ind","sop","Total","MCD",5811,0
"ind","sop","Total","OTZ",4743,0
"ind","agegrps","Total","Under 5",1910,0
"ind","agegrps","Total","5-17",5035,0
"ind","agegrps","Total","18-44",7444,0
"ind","agegrps","Total","45-64",6224,0
"ind","agegrps","Total","65+",3416,0
"ind","region","Total","Northeast",3764,0
"ind","region","Total","Midwest",5228,0
"ind","region","Total","South",8816,0
"ind","region","Total","West",6221,0
"ind","married","Total","Married",9752,0
"ind","married","Total","Widowed",1328,0
"ind","married","Total","Divorced",1991,0
"ind","married","Total","Separated",416,0
"ind","married","Total","Never married",4399,0
"ind","married","Total","Inapplicable (age < 16)",6142,0
"ind","married","Total","Missing",1,0
"ind","race","Total","Hispanic",5368,0
"ind","race","Total","White",13019,0
"ind","race","Total","Black",3898,0
"ind","race","Total","Amer. Indian, AK Native, or mult. races",564,0
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",1180,0
"ind","sex","Total","Male",10832,0
"ind","sex","Total","Female",13197,0
"ind","education","Total","Less than high school",3894,0
"ind","education","Total","High school",5117,0
"ind","education","Total","Some college",7935,0
"ind","education","Total","Inapplicable (age < 18)",6945,0
"ind","education","Total","Missing",138,0
"ind","employed","Total","Employed",10339,0
"ind","employed","Total","Not employed",7546,0
"ind","employed","Total","Inapplicable (age < 16)",6142,0
"ind","employed","Total","Missing",2,0
"ind","insurance","Total","Any private, all ages",14770,0
"ind","insurance","Total","Public only, all ages",6804,0
"ind","insurance","Total","Uninsured, all ages",2455,0
"ind","poverty","Total","Negative or poor",4399,0
"ind","poverty","Total","Near-poor",1338,0
"ind","poverty","Total","Low income",3692,0
"ind","poverty","Total","Middle income",6972,0
"ind","poverty","Total","High income",7628,0
"ind","health","Total","Excellent",7003,0
"ind","health","Total","Very good",7490,0
"ind","health","Total","Good",6351,0
"ind","health","Total","Fair",2337,0
"ind","health","Total","Poor",817,0
"ind","health","Total","Missing",31,0
"ind","mnhlth","Total","Excellent",9301,0
"ind","mnhlth","Total","Very good",7111,0
"ind","mnhlth","Total","Good",5793,0
"ind","mnhlth","Total","Fair",1424,0
"ind","mnhlth","Total","Poor",369,0
"ind","mnhlth","Total","Missing",31,0
"ind","agegrps_v2X","Total","Under 18",6945,0
"ind","agegrps_v2X","Total","18-64",13668,0
"ind","agegrps_v2X","Total","65+",3416,0
"ind","insurance_v2X","Total","<65, Any private",13122,0
"ind","insurance_v2X","Total","<65, Public only",5060,0
"ind","insurance_v2X","Total","<65, Uninsured",2431,0
"ind","insurance_v2X","Total","65+, Medicare only",1159,0
"ind","insurance_v2X","Total","65+, Medicare and private",1621,0
"ind","insurance_v2X","Total","65+, Medicare and other public",584,0
"ind","insurance_v2X","Total","65+, No medicare",52,0
"event","sop","TOT","EXP",24029,0
"event","sop","TOT","SLF",20753,0
"event","sop","TOT","PTR",13812,0
"event","sop","TOT","MCR",4147,0
"event","sop","TOT","MCD",5811,0
"event","sop","TOT","OTZ",4743,0
"event","sop","DVT","EXP",11071,0
"event","sop","DVT","SLF",6978,0
"event","sop","DVT","PTR",6259,0
"event","sop","DVT","MCR",123,0
"event","sop","DVT","MCD",1900,0
"event","sop","DVT","OTZ",579,0
"event","sop","RX","EXP",17308,0
"event","sop","RX","SLF",15877,0
"event","sop","RX","PTR",7977,0
"event","sop","RX","MCR",3115,0
"event","sop","RX","MCD",3071,0
"event","sop","RX","OTZ",1397,0
"event","sop","OBV","EXP",19911,0
"event","sop","OBV","SLF",14186,0
"event","sop","OBV","PTR",11460,0
"event","sop","OBV","MCR",3627,0
"event","sop","OBV","MCD",4377,0
"event","sop","OBV","OTZ",3284,0
"event","sop","OBD","EXP",18556,0
"event","sop","OBD","SLF",12850,0
"event","sop","OBD","PTR",10693,0
"event","sop","OBD","MCR",3534,0
"event","sop","OBD","MCD",4056,0
"event","sop","OBD","OTZ",2809,0
"event","sop","OBO","EXP",8041,0
"event","sop","OBO","SLF",5024,0
"event","sop","OBO","PTR",4631,0
"event","sop","OBO","MCR",1471,0
"event","sop","OBO","MCD",1066,0
"event","sop","OBO","OTZ",1101,0
"event","sop","OPT","EXP",3986,0
"event","sop","OPT","SLF",1880,0
"event","sop","OPT","PTR",2390,0
"event","sop","OPT","MCR",1237,0
"event","sop","OPT","MCD",693,0
"event","sop","OPT","OTZ",677,0
"event","sop","OPY","EXP",2193,0
"event","sop","OPY","SLF",1119,0
"event","sop","OPY","PTR",1297,0
"event","sop","OPY","MCR",646,0
"event","sop","OPY","MCD",410,0
"event","sop","OPY","OTZ",403,0
"event","sop","OPZ","EXP",2385,0
"event","sop","OPZ","SLF",961,0
"event","sop","OPZ","PTR",1448,0
"event","sop","OPZ","MCR",812,0
"event","sop","OPZ","MCD",345,0
"event","sop","OPZ","OTZ",347,0
"event","sop","ERT","EXP",3740,0
"event","sop","ERT","SLF",1632,0
"event","sop","ERT","PTR",1685,0
"event","sop","ERT","MCR",787,0
"event","sop","ERT","MCD",1231,0
"event","sop","ERT","OTZ",617,0
"event","sop","IPT","EXP",2185,0
"event","sop","IPT","SLF",951,0
"event","sop","IPT","PTR",1004,0
"event","sop","IPT","MCR",844,0
"event","sop","IPT","MCD",701,0
"event","sop","IPT","OTZ",430,0
"event","sop","HHT","EXP",635,0
"event","sop","HHT","SLF",149,0
"event","sop","HHT","PTR",84,0
"event","sop","HHT","MCR",297,0
"event","sop","HHT","MCD",205,0
"event","sop","HHT","OTZ",178,0
"event","sop","OMA","EXP",4889,0
"event","sop","OMA","SLF",3902,0
"event","sop","OMA","PTR",1251,0
"event","sop","OMA","MCR",230,0
"event","sop","OMA","MCD",677,0
"event","sop","OMA","OTZ",247,0
"event","agegrps","TOT","Under 5",1910,0
"event","agegrps","TOT","5-17",5035,0
"event","agegrps","TOT","18-44",7444,0
"event","agegrps","TOT","45-64",6224,0
"event","agegrps","TOT","65+",3416,0
"event","agegrps","DVT","Under 5",408,0
"event","agegrps","DVT","5-17",3067,0
"event","agegrps","DVT","18-44",3217,0
"event","agegrps","DVT","45-64",3016,0
"event","agegrps","DVT","65+",1363,0
"event","agegrps","RX","Under 5",1079,0
"event","agegrps","RX","5-17",2667,0
"event","agegrps","RX","18-44",5135,0
"event","agegrps","RX","45-64",5217,0
"event","agegrps","RX","65+",3210,0
"event","agegrps","OBV","Under 5",1741,0
"event","agegrps","OBV","5-17",3855,0
"event","agegrps","OBV","18-44",5789,0
"event","agegrps","OBV","45-64",5325,0
"event","agegrps","OBV","65+",3201,0
"event","agegrps","OBD","Under 5",1696,0
"event","agegrps","OBD","5-17",3533,0
"event","agegrps","OBD","18-44",5186,0
"event","agegrps","OBD","45-64",4994,0
"event","agegrps","OBD","65+",3147,0
"event","agegrps","OBO","Under 5",274,0
"event","agegrps","OBO","5-17",1079,0
"event","agegrps","OBO","18-44",2342,0
"event","agegrps","OBO","45-64",2659,0
"event","agegrps","OBO","65+",1687,0
"event","agegrps","OPT","Under 5",147,0
"event","agegrps","OPT","5-17",330,0
"event","agegrps","OPT","18-44",909,0
"event","agegrps","OPT","45-64",1469,0
"event","agegrps","OPT","65+",1131,0
"event","agegrps","OPY","Under 5",97,0
"event","agegrps","OPY","5-17",209,0
"event","agegrps","OPY","18-44",510,0
"event","agegrps","OPY","45-64",772,0
"event","agegrps","OPY","65+",605,0
"event","agegrps","OPZ","Under 5",55,0
"event","agegrps","OPZ","5-17",144,0
"event","agegrps","OPZ","18-44",485,0
"event","agegrps","OPZ","45-64",953,0
"event","agegrps","OPZ","65+",748,0
"event","agegrps","ERT","Under 5",391,0
"event","agegrps","ERT","5-17",613,0
"event","agegrps","ERT","18-44",1178,0
"event","agegrps","ERT","45-64",897,0
"event","agegrps","ERT","65+",661,0
"event","agegrps","IPT","Under 5",146,0
"event","agegrps","IPT","5-17",113,0
"event","agegrps","IPT","18-44",644,0
"event","agegrps","IPT","45-64",559,0
"event","agegrps","IPT","65+",723,0
"event","agegrps","HHT","Under 5",39,0
"event","agegrps","HHT","5-17",32,0
"event","agegrps","HHT","18-44",66,0
"event","agegrps","HHT","45-64",130,0
"event","agegrps","HHT","65+",368,0
"event","agegrps","OMA","Under 5",64,0
"event","agegrps","OMA","5-17",781,0
"event","agegrps","OMA","18-44",1477,0
"event","agegrps","OMA","45-64",1585,0
"event","agegrps","OMA","65+",982,0
"event","region","TOT","Northeast",3764,0
"event","region","TOT","Midwest",5228,0
"event","region","TOT","South",8816,0
"event","region","TOT","West",6221,0
"event","region","DVT","Northeast",1779,0
"event","region","DVT","Midwest",2691,0
"event","region","DVT","South",3594,0
"event","region","DVT","West",3007,0
"event","region","RX","Northeast",2658,0
"event","region","RX","Midwest",3853,0
"event","region","RX","South",6675,0
"event","region","RX","West",4122,0
"event","region","OBV","Northeast",3190,0
"event","region","OBV","Midwest",4463,0
"event","region","OBV","South",7247,0
"event","region","OBV","West",5011,0
"event","region","OBD","Northeast",3034,0
"event","region","OBD","Midwest",4096,0
"event","region","OBD","South",6841,0
"event","region","OBD","West",4585,0
"event","region","OBO","Northeast",1286,0
"event","region","OBO","Midwest",2132,0
"event","region","OBO","South",2558,0
"event","region","OBO","West",2065,0
"event","region","OPT","Northeast",762,0
"event","region","OPT","Midwest",1137,0
"event","region","OPT","South",1331,0
"event","region","OPT","West",756,0
"event","region","OPY","Northeast",420,0
"event","region","OPY","Midwest",559,0
"event","region","OPY","South",733,0
"event","region","OPY","West",481,0
"event","region","OPZ","Northeast",473,0
"event","region","OPZ","Midwest",760,0
"event","region","OPZ","South",777,0
"event","region","OPZ","West",375,0
"event","region","ERT","Northeast",560,0
"event","region","ERT","Midwest",873,0
"event","region","ERT","South",1453,0
"event","region","ERT","West",854,0
"event","region","IPT","Northeast",324,0
"event","region","IPT","Midwest",464,0
"event","region","IPT","South",939,0
"event","region","IPT","West",458,0
"event","region","HHT","Northeast",121,0
"event","region","HHT","Midwest",137,0
"event","region","HHT","South",252,0
"event","region","HHT","West",125,0
"event","region","OMA","Northeast",727,0
"event","region","OMA","Midwest",1170,0
"event","region","OMA","South",1748,0
"event","region","OMA","West",1244,0
"event","married","TOT","Married",9752,0
"event","married","TOT","Widowed",1328,0
"event","married","TOT","Divorced",1991,0
"event","married","TOT","Separated",416,0
"event","married","TOT","Never married",4399,0
"event","married","TOT","Inapplicable (age < 16)",6142,0
"event","married","TOT","Missing",1,0
"event","married","DVT","Married",4703,0
"event","married","DVT","Widowed",432,0
"event","married","DVT","Divorced",837,0
"event","married","DVT","Separated",127,0
"event","married","DVT","Never married",1957,0
"event","married","DVT","Inapplicable (age < 16)",3015,0
"event","married","RX","Married",7815,0
"event","married","RX","Widowed",1235,0
"event","married","RX","Divorced",1629,0
"event","married","RX","Separated",360,0
"event","married","RX","Never married",2963,0
"event","married","RX","Inapplicable (age < 16)",3305,0
"event","married","RX","Missing",1,0
"event","married","OBV","Married",8306,0
"event","married","OBV","Widowed",1224,0
"event","married","OBV","Divorced",1690,0
"event","married","OBV","Separated",347,0
"event","married","OBV","Never married",3359,0
"event","married","OBV","Inapplicable (age < 16)",4985,0
"event","married","OBD","Married",7756,0
"event","married","OBD","Widowed",1198,0
"event","married","OBD","Divorced",1584,0
"event","married","OBD","Separated",324,0
"event","married","OBD","Never married",3011,0
"event","married","OBD","Inapplicable (age < 16)",4683,0
"event","married","OBO","Married",3959,0
"event","married","OBO","Widowed",577,0
"event","married","OBO","Divorced",857,0
"event","married","OBO","Separated",150,0
"event","married","OBO","Never married",1355,0
"event","married","OBO","Inapplicable (age < 16)",1143,0
"event","married","OPT","Married",2088,0
"event","married","OPT","Widowed",401,0
"event","married","OPT","Divorced",483,0
"event","married","OPT","Separated",74,0
"event","married","OPT","Never married",530,0
"event","married","OPT","Inapplicable (age < 16)",410,0
"event","married","OPY","Married",1100,0
"event","married","OPY","Widowed",207,0
