"rowGrp","colGrp","rowLevels","colLevels","n","n_se"
"ind","ind","Total","Total",33162,0
"ind","event","Total","TOT",26858,0
"ind","event","Total","DVT",12111,0
"ind","event","Total","RX",18345,0
"ind","event","Total","OBT",22812,0
"ind","event","Total","OBD",20811,0
"ind","event","Total","OBO",10663,0
"ind","event","Total","OPT",4469,0
"ind","event","Total","OPD",2768,0
"ind","event","Total","OPO",2426,0
"ind","event","Total","ERT",4737,0
"ind","event","Total","IPD",2092,0
"ind","event","Total","HHT",918,0
"ind","event","Total","OMA",5259,0
"ind","sop","Total","EXP",26665,0
"ind","sop","Total","SLF",20743,0
"ind","sop","Total","PTR",13550,0
"ind","sop","Total","MCR",4891,0
"ind","sop","Total","MCD",9920,0
"ind","sop","Total","OTZ",5989,0
"ind","agegrps","Total","Under 5",2336,0
"ind","agegrps","Total","5-17",6939,0
"ind","agegrps","Total","18-44",11988,0
"ind","agegrps","Total","45-64",7897,0
"ind","agegrps","Total","65+",4002,0
"ind","region","Total","Northeast",5133,0
"ind","region","Total","Midwest",5942,0
"ind","region","Total","South",12519,0
"ind","region","Total","West",9568,0
"ind","married","Total","Married",11126,0
"ind","married","Total","Widowed",1473,0
"ind","married","Total","Divorced",2729,0
"ind","married","Total","Separated",718,0
"ind","married","Total","Never married",8893,0
"ind","married","Total","Inapplicable (age < 16)",8222,0
"ind","married","Total","Missing",1,0
"ind","race","Total","Hispanic",10649,0
"ind","race","Total","White",11953,0
"ind","race","Total","Black",6968,0
"ind","race","Total","Amer. Indian, AK Native, or mult. races",1163,0
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",2429,0
"ind","sex","Total","Male",15790,0
"ind","sex","Total","Female",17372,0
"ind","education","Total","Less than high school",5101,0
"ind","education","Total","High school",6520,0
"ind","education","Total","Some college",12092,0
"ind","education","Total","Inapplicable (age < 18)",9275,0
"ind","education","Total","Missing",174,0
"ind","employed","Total","Employed",14602,0
"ind","employed","Total","Not employed",10311,0
"ind","employed","Total","Inapplicable (age < 16)",8222,0
"ind","employed","Total","Missing",27,0
"ind","insurance","Total","Any private, all ages",17143,0
"ind","insurance","Total","Public only, all ages",11517,0
