"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"ind","ind","Total","Total",321423250.923038,7480043.17362471
"ind","event","Total","TOT",275688696.546112,6586026.70334821
"ind","event","Total","DVT",137835719.082536,4041002.1129247
"ind","event","Total","RX",197398589.590492,4837979.32901521
"ind","event","Total","OBT",238272028.822832,5885595.62495976
"ind","event","Total","OBD",215897253.089491,5326331.2323833
"ind","event","Total","OBO",129321152.613516,3780423.45907886
"ind","event","Total","OPT",51944508.208966,2106315.33152507
"ind","event","Total","OPD",30605266.824322,1287838.27261275
"ind","event","Total","OPO",31097561.415298,1546239.00609728
"ind","event","Total","ERT",45732940.237937,1394781.3230741
"ind","event","Total","IPD",20626444.480423,709095.237066275
"ind","event","Total","HHT",9435725.465963,452731.926390741
"ind","event","Total","OMA",62834775.511784,2028329.04479424
"ind","sop","Total","EXP",274356894.778389,6551954.12194764
"ind","sop","Total","SLF",232259290.432268,5803203.12919351
"ind","sop","Total","PTR",178270963.017012,5303353.88015915
"ind","sop","Total","MCR",56587844.419151,1683470.38804692
"ind","sop","Total","MCD",63897600.960677,2045764.61933764
"ind","sop","Total","OTZ",56570664.239337,1856990.57777052
"ind","agegrps","Total","Under 5",19922750.989526,800706.07290059
"ind","agegrps","Total","5-17",54255117.656524,1860278.11116179
"ind","agegrps","Total","18-44",113406028.473024,3149421.47399154
"ind","agegrps","Total","45-64",84246018.17354,2262523.14101678
"ind","agegrps","Total","65+",49593335.630424,1634699.34214678
"ind","region","Total","Northeast",56454108.410095,2841282.53245889
"ind","region","Total","Midwest",67808883.704099,3108442.55085602
"ind","region","Total","South",121055019.264152,4816231.39585305
"ind","region","Total","West",76105239.544692,3044036.64879122
"ind","married","Total","Married",131000856.486145,3684291.70622048
"ind","married","Total","Widowed",14938788.723236,609867.353485837
"ind","married","Total","Divorced",26391181.45254,868738.996704934
"ind","married","Total","Separated",4817559.350346,255330.600825156
"ind","married","Total","Never married",79493464.772865,1961586.47957831
"ind","married","Total","Inapplicable (age < 16)",64781400.137906,2147010.61122187
"ind","race","Total","Hispanic",57063251.244804,3380671.34039111
"ind","race","Total","White",194013304.319871,6027440.43365355
"ind","race","Total","Black",39532988.489292,1937751.50908081
"ind","race","Total","Amer. Indian, AK Native, or mult. races",12300505.165177,1381720.56752581
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",18513201.703894,1768085.60298523
"ind","sex","Total","Male",157168349.271765,3703411.06846766
